alpha,chain,h,seed,n_iter,n_samples,runtime_seconds,n_grad_evaluations,projection_frequency,mean_squared_jump,a_mean,a_min,log_a_min,radius_mean,radius_max,drift_norm_mean,reversible_drift_norm_mean,nonreversible_drift_norm_mean,n_numerical_warnings
0.0,0,4.9087463019355625e-06,1000,300000,5000,83.09750785300002,300000,7.333333333333333e-05,6.450090878068648e-05,0.5932273398977987,0.13588613667293817,-1.9959379742651973,0.08539585768233325,0.1939047096838313,142.4449785129722,142.4449785129722,0.0,0
0.0,1,4.9087463019355625e-06,1001,300000,5000,82.88251995200017,300000,0.00042666666666666667,6.481420626458317e-05,0.5937895831856108,0.14091817068381932,-1.959575906832221,0.0864022449961231,0.19390470968383133,142.28626696606025,142.28626696606025,0.0,0
0.0,2,4.9087463019355625e-06,1002,300000,5000,83.74139697099963,300000,0.00012333333333333334,6.472311190959738e-05,0.5954884988222174,0.12797094974517992,-2.0559519959365113,0.08727798160925339,0.19390470968383133,142.13455225195995,142.13455225195995,0.0,0
0.0,3,4.9087463019355625e-06,1003,300000,5000,82.16356385799963,300000,0.00011666666666666667,6.532881396940457e-05,0.5988548652019507,0.14884650834039886,-1.9048396493675448,0.08825894745480994,0.19390470968383128,143.17919231567726,143.17919231567726,0.0,0
0.25,0,4.9087463019355625e-06,1000,300000,5000,88.15077325900029,300000,7.333333333333333e-05,6.450216304804e-05,0.5932302164395965,0.13600040001634794,-1.9950974519537346,0.08539628919270184,0.19390470968383133,142.44541535789097,142.4439882357247,0.5943058135564849,0
0.25,1,4.9087463019355625e-06,1001,300000,5000,89.14160331899984,300000,0.00042666666666666667,6.481399249200032e-05,0.5937791243972903,0.1405386144531302,-1.9622729920034825,0.0864010712387206,0.19390470968383133,142.28799023323705,142.28651412532474,0.5972032128822526,0
0.25,2,4.9087463019355625e-06,1002,300000,5000,88.69659605800007,300000,0.00011666666666666667,6.47251090212636e-05,0.5955051143079824,0.12914537746417087,-2.046816552073319,0.08727566589464408,0.1939047096838313,142.1387293423239,142.13722259520895,0.6069394907434139,0
0.25,3,4.9087463019355625e-06,1003,300000,5000,89.20810724900002,300000,0.00012,6.532873524783582e-05,0.59885748652122,0.14825916123736166,-1.908793447146056,0.08825965797583513,0.19390470968383128,143.1815555945638,143.1800144326962,0.6175677024704969,0
0.5,0,4.9087463019355625e-06,1000,300000,5000,91.76312615699999,300000,7.333333333333333e-05,6.45033964942495e-05,0.5932316805937956,0.13609778382183246,-1.9943816529118676,0.08539649023682387,0.1939047096838313,142.4483629006847,142.44265431033776,1.1885997183635084,0
0.5,1,4.9087463019355625e-06,1001,300000,5000,90.34318972399979,300000,0.00042666666666666667,6.481389181768015e-05,0.5937691486243184,0.14017507116224567,-1.964863129305359,0.0863997262910414,0.1939047096838313,142.29274594277277,142.28684202803527,1.1943739600525471,0
0.5,2,4.9087463019355625e-06,1002,300000,5000,89.38876131300003,300000,0.00011666666666666667,6.472687697274623e-05,0.5955197447642738,0.13055828845299214,-2.0359354971277566,0.08727289503295402,0.1939047096838313,142.145579834838,142.13955324922625,1.2138626585718237,0
0.5,3,4.9087463019355625e-06,1003,300000,5000,90.41719944400029,300000,0.00011666666666666667,6.532864848546465e-05,0.598860242026453,0.14763991017746658,-1.9129790092093988,0.08826098434898146,0.19390470968383133,143.1869770006826,143.18081321970558,1.2350986534453743,0
1.0,0,4.9087463019355625e-06,1000,300000,5000,90.68805803800024,300000,7.666666666666667e-05,6.45055472428811e-05,0.5932329585160862,0.13618463771899594,-1.9937436837060862,0.08539607758750857,0.19390470968383133,142.4621449312224,142.4393116809828,2.3771110396098996,0
1.0,1,4.9087463019355625e-06,1001,300000,5000,90.43935726099971,300000,0.00041,6.481354085186757e-05,0.5937475811284966,0.13961065041538917,-1.9688977991901322,0.0863962153777226,0.19390470968383133,142.31121593559175,142.2876058868274,2.3886093758537976,0
1.0,2,4.9087463019355625e-06,1002,300000,5000,91.343179943,300000,0.00011666666666666667,6.473041246158175e-05,0.5955488122187964,0.1296506227359132,-2.04291196380103,0.08726827133194545,0.19390470968383133,142.16759592832202,142.14349391225988,2.427658168880678,0
1.0,3,4.9087463019355625e-06,1003,300000,5000,91.97079630500002,300000,0.00011666666666666667,6.532846867786179e-05,0.5988655539807757,0.14677920321871157,-1.9188258402849714,0.08826353962621142,0.1939047096838313,143.20740220077906,143.18275504065673,2.4700623670087025,0
2.0,0,4.9087463019355625e-06,1000,300000,5000,90.82035146899989,300000,7.333333333333333e-05,6.451009587765775e-05,0.5932321834501527,0.13685319347235667,-1.9888465082006261,0.08539366657686483,0.19390470968383133,142.52212545377338,142.43082049513137,4.753797841222333,0
2.0,1,4.9087463019355625e-06,1001,300000,5000,91.5297967409997,300000,0.00040666666666666667,6.481296420227682e-05,0.5937051314255638,0.13866777006613218,-1.975674350212958,0.08638296713120867,0.1939047096838313,142.38445636505767,142.2900899924579,4.776519353760825,0
2.0,2,4.9087463019355625e-06,1002,300000,5000,91.62623081299989,300000,0.00010666666666666667,6.473774528574128e-05,0.5956070635561181,0.12816304698446213,-2.054452021097154,0.087259800937493,0.1939047096838313,142.24691333244527,142.15056930474248,4.8549551660851575,0
2.0,3,4.9087463019355625e-06,1003,300000,5000,90.53332434000004,300000,0.00011666666666666667,6.532680910412263e-05,0.5988620267567617,0.14887785268947765,-1.9046290898480875,0.08826155050185597,0.1939047096838313,143.2828943999039,143.18441356357405,4.939083333071655,0
10.0,0,4.9087463019355625e-06,1000,300000,5000,90.11965070999986,300000,7.333333333333333e-05,6.456746732066283e-05,0.593220141978433,0.14757641432524793,-1.913409174128664,0.08536560121406415,0.19390470968383136,144.6469773646967,142.38990504292852,23.75836504361497,0
10.0,1,4.9087463019355625e-06,1001,300000,5000,90.39175196199994,300000,0.0004133333333333333,6.48288229443231e-05,0.5934206186194576,0.12917798788418053,-2.046564074562127,0.08628612567676584,0.19390470968383136,144.63914958894892,142.3173676789466,23.869826791441064,0
10.0,2,4.9087463019355625e-06,1002,300000,5000,90.78884961299991,300000,6.333333333333333e-05,6.479464722906737e-05,0.5958789339500898,0.12938221816183093,-2.0449843239636354,0.08719585195008968,0.19390470968383128,144.56749519564008,142.19173485728038,24.27477448080174,0
