chain,alpha,s,h,seed,runtime_s,projection_fraction,max_norm,a_min,a_max,n_nonfinite,mean_drift_norm,mean_nr_drift_norm
0,0.0,1.0,0.02,20241917,1.8918602400081,0.02915,3.000000000000001,0.8903361874450736,0.9978365073080142,0,1.6416792642205318,0.0
1,0.0,1.0,0.02,20242917,1.987866979005048,0.03085,3.000000000000001,0.8902396705278045,0.9978372757870356,0,1.6434422630564958,0.0
2,0.0,1.0,0.02,20243917,2.0275816960056545,0.02765,3.0000000000000004,0.8959330083851103,0.9978363688110837,0,1.642842802002824,0.0
3,0.0,1.0,0.02,20244917,2.069311256011133,0.030975,3.0000000000000004,0.9004345884250182,0.9978323889802316,0,1.6437234259091769,0.0
0,0.5,1.0,0.02,20241917,2.0609342620009556,0.02955,3.000000000000001,0.9036584841685483,0.9978371433542579,0,1.80337624813631,0.6536797657303197
1,0.5,1.0,0.02,20242917,1.7531425659981323,0.030375,3.0000000000000004,0.8907847207333957,0.9978355866312211,0,1.807348880672308,0.6589449526044601
2,0.5,1.0,0.02,20243917,1.9777222010015976,0.0276,3.0000000000000004,0.905236785747657,0.9978353846358105,0,1.7932078979377002,0.6306931690869453
3,0.5,1.0,0.02,20244917,1.8058939769980498,0.0317,3.0000000000000004,0.899822579867918,0.9978368548379888,0,1.814748475792803,0.6752665753529555
0,1.0,1.0,0.02,20241917,2.0751702379930066,0.030175,3.000000000000001,0.8852880465545063,0.9978302112505276,0,2.189860626486992,1.3147748721167722
1,1.0,1.0,0.02,20242917,1.882339456002228,0.030825,3.0000000000000004,0.8937554312181575,0.9978373321732296,0,2.2008860995373363,1.3312270149048577
2,1.0,1.0,0.02,20243917,1.5171694839955308,0.027825,3.000000000000001,0.8789894871871573,0.9978369282465771,0,2.160256557892073,1.2725888823505718
3,1.0,1.0,0.02,20244917,1.558822576989769,0.03145,3.000000000000001,0.8894176548299279,0.9978344526614836,0,2.2192144729795387,1.359520932562428
0,2.0,1.0,0.02,20241917,2.054864075995283,0.03335,3.000000000000001,0.8915780986530788,0.9978320489197712,0,3.256250537421216,2.666958256208491
1,2.0,1.0,0.02,20242917,2.0503343020100147,0.032225,3.000000000000001,0.8892001211128355,0.9978304660584615,0,3.229807965653189,2.6381432325098113
2,2.0,1.0,0.02,20243917,2.068404466001084,0.028575,3.0000000000000004,0.8971160169912152,0.9978365401221914,0,3.183979516311307,2.5868145617081297
3,2.0,1.0,0.02,20244917,2.0769391000067117,0.031325,3.0000000000000004,0.8981064643812408,0.9978365703185985,0,3.269143607955685,2.6859459610246565
0,4.0,1.0,0.02,20241917,1.991142528000637,0.0446,3.000000000000001,0.904865402344793,0.9978343485920703,0,5.9689746783261075,5.625139507985521
1,4.0,1.0,0.02,20242917,1.515718875991297,0.0423,3.000000000000001,0.9061393010524219,0.9978335311781316,0,5.992926429133612,5.656064327237727
2,4.0,1.0,0.02,20243917,1.9736428000032902,0.038725,3.000000000000001,0.8958375315499741,0.9978370573722746,0,5.783027040386492,5.429007202153028
3,4.0,1.0,0.02,20244917,2.0535108860058244,0.043275,3.000000000000001,0.8862402787254912,0.9978355535633145,0,6.072015954442036,5.7373365532393
0,8.0,1.0,0.02,20241917,1.9714694850117667,0.10965,3.000000000000001,0.8932058933723717,0.9978371833153934,0,14.591244867004558,14.451055557045311
1,8.0,1.0,0.02,20242917,2.0827713039907394,0.105575,3.000000000000001,0.9067689379820549,0.9978373775339685,0,14.169021449505374,14.01966650842057
2,8.0,1.0,0.02,20243917,1.7791932060063118,0.0984,3.000000000000001,0.8889795455814322,0.9978273096133847,0,14.010501987163734,13.86102230097916
3,8.0,1.0,0.02,20244917,1.862217056012014,0.1073,3.000000000000001,0.8991356682206045,0.9978344251010736,0,14.4259531182277,14.281965563459654
