potential,mode,target_block,s,own_ratio,own_t,overall,bias_nrev,bias_rev,rhat,d_acc_pts,t_acc
lasso,block1,1,1.0,1.0251116291332272,3.7787768108165496,1.0087740433525767,0.18006722139185116,0.1799684587178949,1.0485419967991922,0.00276481016646124,1.5617922201992713
lasso,block1,1,2.0,1.0926666572955406,6.9294272828015355,1.0311611715087081,0.1801268323233716,0.1799684587178949,1.048774042117896,0.0070132621520276744,1.9745332693529485
lasso,block1,1,5.0,1.409144096260475,12.336443523247135,1.1247947847906716,0.18013137481760338,0.1799684587178949,1.048509509121522,0.005683220897717556,0.8450740671045299
lasso,block1,1,10.0,1.9086972632855932,15.301632450429661,1.2461502463281156,0.18092587761434736,0.1799684587178949,1.048103827269868,-0.005508674801340055,-0.710396291654539
lasso,block1,1,20.0,3.237297839324686,20.3092245035061,1.4853121634418238,0.1846181758872368,0.1799684587178949,1.048103827269868,-0.05493663837064268,-6.1409770378391855
lasso,block2,2,1.0,1.513683009823706,12.583342282942994,1.1590921097459095,0.17880804907835274,0.1799684587178949,1.048103827269868,-0.009097342542646256,-0.9867731541890238
lasso,block2,2,2.0,2.2197756790624568,16.69332311568145,1.3260185043556998,0.17951446147045327,0.1799684587178949,1.048103827269868,-0.01232644532539115,-1.2452092521690659
lasso,block2,2,5.0,4.031711896813294,18.18818219594323,1.62406987374021,0.18647073199107844,0.1799684587178949,1.048103827269868,-0.044027507347625325,-3.7131767515927496
lasso,block2,2,10.0,8.626574057891903,35.93257136465343,2.1070001358117687,0.5506450191262695,0.1799684587178949,1.048103827269868,-0.2604297576238493,-17.412120110984887
lasso,block2,2,20.0,19.602176120565392,91.99951048090588,4.174582868226417,24.325987640097853,0.1799684587178949,1.048103827269868,-7.874357391093728,-296.67893747234285
lasso,block3,3,1.0,1.1389695523007453,5.719426693402715,1.0447272710738924,0.17889503365431525,0.1799684587178949,1.0493816265510763,0.0018082975583595673,0.4938588930167342
lasso,block3,3,2.0,1.4607631462130297,11.065943737955731,1.136724170917218,0.17809912838669203,0.1799684587178949,1.048103827269868,0.007062135059006033,1.246770643073017
