potential,block,rule,cap,s,feasible,gain
lasso,1,declared cap,0.3599369174357898,20.0,True,3.237297839324686
lasso,1,B*=0.1,0.1,1.0,False,1.0251116291332272
lasso,1,B*=0.25,0.25,20.0,True,3.237297839324686
lasso,1,B*=0.5,0.5,20.0,True,3.237297839324686
lasso,2,declared cap,0.3599369174357898,5.0,True,4.031711896813294
lasso,2,B*=0.1,0.1,1.0,False,1.513683009823706
lasso,2,B*=0.25,0.25,5.0,True,4.031711896813294
lasso,2,B*=0.5,0.5,5.0,True,4.031711896813294
lasso,3,declared cap,0.3599369174357898,20.0,True,6.879330658302393
lasso,3,B*=0.1,0.1,1.0,False,1.1389695523007453
lasso,3,B*=0.25,0.25,10.0,True,4.026498993809592
lasso,3,B*=0.5,0.5,20.0,True,6.879330658302393
graded,1,declared cap,0.11278447762350878,10.0,True,1.9750614091700995
graded,1,B*=0.1,0.1,10.0,True,1.9750614091700995
graded,1,B*=0.25,0.25,20.0,True,3.5239733473368604
graded,1,B*=0.5,0.5,20.0,True,3.5239733473368604
graded,2,declared cap,0.11278447762350878,5.0,True,3.684770527660274
graded,2,B*=0.1,0.1,5.0,True,3.684770527660274
graded,2,B*=0.25,0.25,5.0,True,3.684770527660274
graded,2,B*=0.5,0.5,5.0,True,3.684770527660274
graded,3,declared cap,0.11278447762350878,2.0,True,1.6713397413046056
graded,3,B*=0.1,0.1,2.0,True,1.6713397413046056
graded,3,B*=0.25,0.25,5.0,True,3.0150260511871463
graded,3,B*=0.5,0.5,5.0,True,3.0150260511871463
