stage,potential,mode,s1,s2,s3,target_block,own_ratio,own_t,overall,overall_t,rhat,bias_rev,bias_nrev,d_acc_pts,t_acc
search,lasso,block1,1.0,0.0,0.0,1,1.027041970151408,5.086885985884552,1.0091175185666637,4.846089442622517,1.0395569004035021,0.1897312760161389,0.18971109031080763,0.002150867468747597,1.4185820345092772
search,lasso,block1,2.0,0.0,0.0,1,1.104599762789083,9.990102889539662,1.0341860228676505,8.302362285873816,1.0396202867661202,0.1897312760161389,0.1896886103712364,0.002001528609359611,0.7447584749081076
search,lasso,block1,5.0,0.0,0.0,1,1.4493844187602,16.886596934907768,1.133496840340424,11.218588823876368,1.0395857744062074,0.1897312760161389,0.1894928021624231,0.0007835441455950517,0.16177040385306302
search,lasso,block1,10.0,0.0,0.0,1,1.9764009603551662,20.690979327948117,1.2578789425409858,12.117124962613822,1.0395563877811544,0.1897312760161389,0.1900518828650827,-0.005653542534919906,-0.9229608157293493
search,lasso,block1,20.0,0.0,0.0,1,3.4295469030083234,28.625866329097498,1.5116452233328843,13.161759406068281,1.0394018514049843,0.1897312760161389,0.19386579027541054,-0.05366501610372665,-8.051675177887915
search,lasso,block2,0.0,1.0,0.0,2,1.483366571341199,14.314313810297529,1.146738169366702,10.610964049271209,1.0394018514049843,0.1897312760161389,0.18888147043651557,-0.01057784596421053,-1.5492411426379407
search,lasso,block2,0.0,2.0,0.0,2,2.2336769197106543,19.737015534171306,1.3206521950017285,12.269087137863771,1.0394018514049843,0.1897312760161389,0.18866376964371417,-0.012474643425225881,-1.5104201354938518
search,lasso,block2,0.0,5.0,0.0,2,4.121029414714078,22.691092222990825,1.6260156325139028,12.784330243018859,1.0394018514049843,0.1897312760161389,0.18896237297386345,-0.03297091701347395,-3.301347001000336
search,lasso,block2,0.0,10.0,0.0,2,8.555192432194977,41.25059988066021,2.0898250988549805,14.409826549355122,1.0394018514049843,0.1897312760161389,0.4794802808137688,-0.24888387627503886,-21.0067865979756
search,lasso,block2,0.0,20.0,0.0,2,20.20125789754058,120.68626452135246,4.317845502586278,26.80134878527297,1.0394018514049843,0.1897312760161389,24.39498864600297,-7.909742386202868,-316.2353108235658
search,lasso,block3,0.0,0.0,1.0,3,1.1815431734548965,9.03671875832723,1.058624458569712,7.68483414149815,1.0394018514049843,0.1897312760161389,0.18987355832724728,-0.0010531298786943069,-0.3500950768650665
search,lasso,block3,0.0,0.0,2.0,3,1.5491575320549902,15.295300108887615,1.1639075707500075,11.006180288110084,1.0394018514049843,0.1897312760161389,0.18974066540036474,-0.005021276714555628,-1.1013491283294536
search,lasso,block3,0.0,0.0,5.0,3,2.612833882515711,20.82391832318467,1.3962955084278472,12.627166765716755,1.0394018514049843,0.1897312760161389,0.19056680492517988,-0.005323833364768762,-0.8592177913481602
search,lasso,block3,0.0,0.0,10.0,3,4.317040095294222,21.839725208124477,1.6559307549668478,12.727437412567033,1.0394018514049843,0.1897312760161389,0.19517039156072008,-0.013706204149039475,-2.145389936620388
search,lasso,block3,0.0,0.0,20.0,3,7.398453190738714,24.21172868309682,1.9808891342882522,12.95960647791308,1.0394018514049843,0.1897312760161389,0.34011107054695444,-0.11729112807703386,-16.25961757851508
search,lasso,uniform,1.0,1.0,1.0,0,,,1.2210715390162363,14.627664942238086,1.0394018514049843,0.1897312760161389,0.18896925355711677,-0.011642612637158961,-1.6342481864436709
search,lasso,uniform,2.0,2.0,2.0,0,,,1.5784012176775342,20.84533698932326,1.0394018514049843,0.1897312760161389,0.1884514015639346,-0.016033562997014535,-1.9263603493947659
search,lasso,uniform,5.0,5.0,5.0,0,,,2.553952067541803,28.046180375026406,1.0394018514049843,0.1897312760161389,0.19026600929188905,-0.040181850510853656,-3.4530407877454508
search,lasso,uniform,10.0,10.0,10.0,0,,,4.285758575940452,35.59534421552711,1.0394018514049843,0.1897312760161389,0.5732147442428959,-0.26747753400493907,-18.553637119799273
search,lasso,uniform,20.0,20.0,20.0,0,,,12.12709288156382,73.03388424522217,1.0394018514049843,0.1897312760161389,24.413207789082875,-7.9759654427574915,-289.11721286613846
search,graded,block1,1.0,0.0,0.0,1,1.0269689592357791,5.1362664963421185,1.0092056728601677,4.948945998387427,1.0675821785644795,0.05826367520989145,0.05842432630012208,-0.0014196888972611843,-0.9403576616819015
search,graded,block1,2.0,0.0,0.0,1,1.108328430120768,9.715097175710927,1.03565166348743,8.240642329508221,1.0675650837053405,0.05826367520989145,0.05847057733935607,-0.001667940507742623,-0.6692339643582348
search,graded,block1,5.0,0.0,0.0,1,1.4570258187844252,16.892691779789878,1.1355118379597149,11.230300242463825,1.0673193317107632,0.05826367520989145,0.05933561846173127,0.0027230098521791035,0.636206769685261
search,graded,block1,10.0,0.0,0.0,1,2.0427246788788387,19.851627892120803,1.2715356730239276,11.9324819501945,1.0673694888101102,0.05826367520989145,0.06064787479614615,0.002736586112133306,0.5812160961431561
search,graded,block1,20.0,0.0,0.0,1,3.587497301632375,24.846039205375366,1.5351968212650027,12.751587003722925,1.0673193317107632,0.05826367520989145,0.1230661152956799,-0.0093152537891802,-1.7815897536773702
