potential,block,cap,cap_value,s,feasible
lasso,1,rev-matched,0.1897312760161389,5.0,True
lasso,1,B*=0.1,0.1,5.0,False
lasso,1,B*=0.25,0.25,20.0,True
lasso,1,B*=0.5,0.5,20.0,True
lasso,2,rev-matched,0.1897312760161389,5.0,True
lasso,2,B*=0.1,0.1,2.0,False
lasso,2,B*=0.25,0.25,5.0,True
lasso,2,B*=0.5,0.5,10.0,True
lasso,3,rev-matched,0.1897312760161389,2.0,False
lasso,3,B*=0.1,0.1,2.0,False
lasso,3,B*=0.25,0.25,10.0,True
lasso,3,B*=0.5,0.5,20.0,True
graded,1,rev-matched,0.05826367520989145,1.0,False
graded,1,B*=0.1,0.1,10.0,True
graded,1,B*=0.25,0.25,20.0,True
graded,1,B*=0.5,0.5,20.0,True
graded,2,rev-matched,0.05826367520989145,2.0,True
graded,2,B*=0.1,0.1,5.0,True
graded,2,B*=0.25,0.25,5.0,True
graded,2,B*=0.5,0.5,5.0,True
graded,3,rev-matched,0.05826367520989145,1.0,False
graded,3,B*=0.1,0.1,2.0,True
graded,3,B*=0.25,0.25,5.0,True
graded,3,B*=0.5,0.5,5.0,True
