experiment,eta,s,R,n_iter,rev_train,nrev_train,rev_test,nrev_test,d_train,se_train,t_train,d_test,se_test,t_test,proj_nrev
titanic_ball,3e-05,0.0,150,600,0.7748970037453182,0.7748970037453182,0.7830912476722534,0.7830912476722534,0.0,1e-300,0.0,0.0,1e-300,0.0,0.011344444444444445
titanic_ball,3e-05,0.25,150,600,0.7748970037453182,0.7741104868913857,0.7830912476722534,0.7809683426443202,-0.0007865168539325832,0.0005216331553226565,-1.507796898849504,-0.0021229050279329633,0.0009194071810520399,-2.3089933075177966,0.011855555555555555
titanic_ball,3e-05,1.0,150,600,0.7748970037453182,0.7754681647940074,0.7830912476722534,0.7838361266294227,0.0005711610486891395,0.0013082619451126394,0.43658003721874167,0.0007448789571694613,0.0018696811366478603,0.3983989261960198,0.013033333333333333
titanic_ball,3e-05,2.0,150,600,0.7748970037453182,0.7813202247191011,0.7830912476722534,0.7928119180633147,0.006423220973782771,0.0016820041221517917,3.81879026881666,0.009720670391061453,0.002327942201184621,4.175649372271739,0.013822222222222222
titanic_ball,3e-05,5.0,150,600,0.7748970037453182,0.7855524344569288,0.7830912476722534,0.7958659217877095,0.01065543071161049,0.0018627126946948762,5.7203833645187645,0.012774674115456233,0.0026494061292057576,4.821712297950273,0.014644444444444444
titanic_lp,3e-05,0.0,150,600,0.775440074906367,0.775440074906367,0.783314711359404,0.783314711359404,0.0,1e-300,0.0,0.0,1e-300,0.0,0.0
titanic_lp,3e-05,0.25,150,600,0.775440074906367,0.7763951310861423,0.783314711359404,0.7857355679702048,0.0009550561797752814,0.0007669544829605954,1.2452579664031382,0.00242085661080075,0.0011203347069751574,2.1608333614308273,0.0
titanic_lp,3e-05,1.0,150,600,0.775440074906367,0.7832397003745317,0.783314711359404,0.7951582867783985,0.007799625468164798,0.001612631006289239,4.836584090065467,0.011843575418994416,0.0020521653660022423,5.771257821228367,0.0
titanic_lp,3e-05,2.0,150,600,0.775440074906367,0.785131086142322,0.783314711359404,0.7956052141527001,0.009691011235955062,0.0016668447652412586,5.813985464058729,0.01229050279329609,0.002059013001251938,5.969123451781567,0.0
titanic_lp,3e-05,5.0,150,600,0.775440074906367,0.7856367041198502,0.783314711359404,0.7956797020484171,0.010196629213483153,0.0018512222550154025,5.508052415563855,0.012364990689013039,0.0024024259741269815,5.146876874533609,0.0
