experiment,method,acc_train_mean,acc_train_sd,acc_test_mean,acc_test_sd,paired_diff_vs_psgld,paired_diff_sd
magic_ball,Projected SGLD,0.7612256834910619,0.023591725751419674,0.7592034700315459,0.02124825177103917,0.0,0.0
magic_ball,Non-reversible SGLD,0.5571004206098844,0.09102225415685804,0.5586487907465826,0.08796686733922113,-0.20055467928496318,0.08963551660011533
magic_ball,Reversible anchored Langevin,0.7730264195583595,0.011652802760935013,0.7694716088328074,0.010567973615326355,0.010268138801261838,0.013692466028606829
magic_ball,Non-reversible anchored Langevin,0.5726603575184016,0.07945749335192173,0.5723711882229232,0.07857024984823993,-0.18683228180862252,0.0818653537168304
magic_lp,Projected SGLD,0.7667337013669822,0.018378698653538954,0.7636855941114616,0.01623760897705588,0.0,0.0
magic_lp,Non-reversible SGLD,0.5116949263932703,0.09113216907255765,0.5110173501577286,0.08929364313804597,-0.2526682439537329,0.0902839674311792
magic_lp,Reversible anchored Langevin,0.7754252103049422,0.009062440397602371,0.7704574132492114,0.008195515686171714,0.006771819137749735,0.010459477275072793
magic_lp,Non-reversible anchored Langevin,0.5211323606729757,0.09534983258080676,0.5212145110410096,0.09154209011549044,-0.24247108307045212,0.09361935161123211
titanic_ball,Projected SGLD,0.7935674157303372,0.011681080490203144,0.8037988826815642,0.013174425907551893,0.0,0.0
titanic_ball,Non-reversible SGLD,0.7858988764044943,0.018160844671748007,0.7994972067039106,0.024004492034938214,-0.00430167597765363,0.024613495618754668
titanic_ball,Reversible anchored Langevin,0.7928932584269662,0.011090341494155163,0.8031284916201119,0.013454764238104487,-0.0006703910614525144,0.009701640616251865
titanic_ball,Non-reversible anchored Langevin,0.7883988764044944,0.01573785935711398,0.7999441340782121,0.021212931846298574,-0.0038547486033519585,0.021552032371285935
titanic_lp,Projected SGLD,0.8006039325842699,0.006747407790744952,0.8060335195530726,0.013453826983097392,0.0,0.0
titanic_lp,Non-reversible SGLD,0.6851544943820224,0.05790949395823607,0.7000558659217876,0.05648712243490287,-0.1059776536312849,0.057956782121197314
titanic_lp,Reversible anchored Langevin,0.8010112359550563,0.0069407915751591625,0.8069273743016759,0.012512676580275432,0.0008938547486033599,0.009618094254482979
titanic_lp,Non-reversible anchored Langevin,0.7366151685393261,0.04277520737855771,0.7508379888268155,0.0443386458316196,-0.05519553072625699,0.04467354703396284
