eta,s,arm,mse_sig,se_mse_sig,bias2_sig,var_sig,mse_w,bias2_w,var_w,proj,nonfinite
3e-05,0.0,rev,0.00030620609666333755,2.103618599129199e-05,7.090238992061477e-06,0.00030386372842796305,0.004012054701543715,0.00010869190898957124,0.003965320932118496,0.1464375,0
3e-05,0.3,nrev,0.0003025956049515232,2.0625367279292716e-05,6.7533726649694025e-06,0.00030053814073554674,0.00394870709469106,0.0001277344838319098,0.003881622969761677,0.147328125,0
3e-05,1.0,nrev,0.00025621653145352065,1.618273252834185e-05,6.935593074761309e-06,0.0002532377786704857,0.0032761093363133484,0.00012334325136720037,0.0032028099910564054,0.14891666666666667,0
3e-05,2.0,nrev,0.00020448319923555315,1.2980614465714609e-05,6.806248937354102e-06,0.0002008146796680117,0.0026320405554065875,9.815320026772705e-05,0.0025741077893474138,0.14965104166666668,0
3e-05,5.0,nrev,0.0001532954558428021,1.1004219957147624e-05,5.9293410282312056e-06,0.00014970525949416726,0.0020329690446885765,7.294350106391662e-05,0.001991137060190131,0.15161458333333333,0
3e-05,7.0,nrev,0.0001418848118325645,1.0750442360779861e-05,5.741697255046355e-06,0.00013830411639620892,0.001917475949990355,6.967861641758521e-05,0.0018771274499786868,0.15191145833333333,0
3e-05,10.0,nrev,0.00013633468201641798,1.1078556809552645e-05,6.220853813199283e-06,0.00013217912706358725,0.0018639006266905557,8.303743103212798e-05,0.0018091308654307834,0.153390625,0
0.0001,0.0,rev,9.934560992589538e-05,6.549037921292075e-06,1.8535029369900735e-06,9.903960075063398e-05,0.0012383364660463712,2.1444667425474354e-05,0.0012362075414561492,0.30190625,0
0.0001,0.3,nrev,9.592275386162145e-05,6.2137376100020746e-06,1.9299629699760496e-06,9.548473995341753e-05,0.001208775415410822,1.5014915037875316e-05,0.001212709079743946,0.3024322916666667,0
0.0001,1.0,nrev,7.860727772486527e-05,4.679791950327644e-06,2.159415047296648e-06,7.76613208153078e-05,0.001000441922693753,8.241366362417364e-06,0.001007949771511198,0.30309895833333333,0
0.0001,2.0,nrev,6.302936735933143e-05,3.655750947920242e-06,2.1815306604340104e-06,6.181367537665767e-05,0.0007856780027063051,6.795425592041323e-06,0.0007912457926240138,0.30311458333333335,0
0.0001,5.0,nrev,4.888309491379103e-05,3.076023293377484e-06,2.1300682006993498e-06,4.749513824822013e-05,0.0005979976955574602,7.7003482464543e-06,0.0005996671464746728,0.3055572916666667,0
0.0001,7.0,nrev,4.4798131382786636e-05,2.9794186684410244e-06,1.9399402328300145e-06,4.353847989836863e-05,0.0005694354100152694,8.056554788778649e-06,0.0005702896307062762,0.3076770833333333,0
0.0001,10.0,nrev,4.282042518006419e-05,2.8372759995747116e-06,3.2223912074254136e-06,4.02265741944267e-05,0.0005679635855978941,2.787917659011941e-05,0.0005486571774047232,0.31511979166666665,0
0.0003,0.0,rev,3.692997227753754e-05,2.502594299002798e-06,2.11321213678907e-06,3.536940712710955e-05,0.0004717728654871656,2.1449239547224553e-05,0.00045747162000247957,0.48895833333333333,0
0.0003,0.3,nrev,3.542776163514318e-05,2.3312038784379653e-06,2.081315026730162e-06,3.3875755284737026e-05,0.00045830935559651985,1.822422759900926e-05,0.0004470706062196934,0.48899479166666665,0
0.0003,1.0,nrev,2.903401033809819e-05,1.7083272596716674e-06,2.132521738856393e-06,2.732849635478532e-05,0.0003742148167359295,1.4020229338725446e-05,0.0003659119618003342,0.48963541666666666,0
0.0003,2.0,nrev,2.332224007962249e-05,1.329688919472475e-06,2.1603974177090207e-06,2.1497744926388286e-05,0.0002955730083560495,1.228878670838175e-05,0.00028778079659445616,0.490484375,0
0.0003,5.0,nrev,1.759901145670228e-05,1.0920696595862747e-06,1.9254343448286382e-06,1.592236405015735e-05,0.00022225102088887377,1.2851985760805915e-05,0.00021272282933644982,0.49934375,0
0.0003,7.0,nrev,2.4001845966253025e-05,1.2864775314220774e-06,9.473289437080184e-06,1.4759168537572411e-05,0.00031864409422538794,0.00012101274783785651,0.0002007683518857462,0.521796875,0
0.0003,10.0,nrev,0.0017014584748005369,2.4386097351146394e-05,0.001687631357119607,1.4046595739357455e-05,0.018331763009698458,0.018207118956761296,0.00012662252996790445,0.7525104166666666,0
