eta,s,arm,mse_sig,se_mse_sig,bias2_sig,var_sig,mse_w,bias2_w,var_w,proj,nonfinite
0.0003,0.0,rev,6.263439373843088e-05,4.3208791802547535e-06,3.6487718276964136e-06,5.992190162360326e-05,0.0012136042701959234,8.069925642083057e-05,0.0011508876330413643,0.30855208333333334,0
0.0003,0.3,nrev,5.2738837347287695e-05,3.6258453233076206e-06,4.83209303777737e-06,4.86671688223597e-05,0.0009915195879536156,0.00010834194633071512,0.0008971963343470735,0.30831770833333333,0
0.0003,1.0,nrev,3.782546280602091e-05,2.486643803346333e-06,4.77149895363854e-06,3.357862994527733e-05,0.0007361741446044232,9.488646082522233e-05,0.0006514668533629976,0.31084375,0
0.0003,2.0,nrev,3.7656571514031175e-05,2.212839809035649e-06,8.94421147346944e-06,2.916811178723732e-05,0.0007285301947774622,0.00012994362470593524,0.0006080879441996464,0.32288541666666665,0
0.0003,5.0,nrev,0.02251333098384936,5.680428795501136e-05,0.022505500440688594,7.954837496651279e-06,0.20817105302772626,0.20812627754588417,4.54862037759747e-05,0.9780989583333334,0
0.0003,10.0,nrev,0.04792919196379009,4.757663958021368e-05,0.04741693514328923,0.0005203878811437348,0.3619620322794824,0.3586921080712819,0.003321827767060964,0.9969895833333333,0
0.001,0.0,rev,2.2994580189469707e-05,1.4945435429361626e-06,4.695362786039138e-06,1.8589681171738994e-05,0.00044104251031581705,9.095928476014632e-05,0.0003556401021517925,0.5094270833333333,0
0.001,0.3,nrev,1.9938856016866546e-05,1.2263130828962346e-06,5.086613961622393e-06,1.5087991929136919e-05,0.00037509333860376873,0.0001016977023968202,0.00027773524948007466,0.5099427083333333,0
0.001,1.0,nrev,1.7910382463871022e-05,8.711735384139201e-07,7.448968434761939e-06,1.062746822004732e-05,0.00033055880614559657,0.00012510773886367733,0.0002087121953340132,0.5234583333333334,0
0.001,2.0,nrev,0.004686404991224257,2.5388832587832213e-05,0.004679390831656249,7.125495434167117e-06,0.06333504788106886,0.06326671753941707,6.941495024944956e-05,0.8491927083333334,0
0.001,5.0,nrev,0.04003983065931512,2.194509462683641e-05,0.04003858147856035,1.269009020731953e-06,0.3091673691185417,0.30916146205796585,6.000823442269698e-06,0.99865625,0
0.001,10.0,nrev,0.052105667188647474,0.00021609744214256882,0.05176313123564186,0.0003479730316247508,0.33521906921605504,0.33379401365932565,0.001447675486201272,0.9996302083333334,0
0.003,0.0,rev,1.3004817013389749e-05,5.963256352187858e-07,5.7507796302256505e-06,7.369180833690512e-06,0.00023247782246706096,0.00011617377898766688,0.00011815013940763845,0.7284895833333334,0
0.003,0.3,nrev,1.1798781024290939e-05,5.043864313308286e-07,5.612986474171691e-06,6.283981765200507e-06,0.0002179360747378032,0.00012232275583774988,9.713099062862557e-05,0.7301822916666667,0
0.003,1.0,nrev,0.0016634537149865943,1.0673370991601117e-05,0.0016581330913557901,5.40507797415024e-06,0.024696303393256798,0.024644200336487863,5.2930089416068235e-05,0.8909322916666667,0
0.003,2.0,nrev,0.023462767423798703,4.6218872263089005e-05,0.023400129889175753,6.363178120427003e-05,0.1992547428506578,0.1990488143392989,0.0002091972178883485,0.998859375,0
0.003,5.0,nrev,0.04144849801262828,2.5822213351141334e-05,0.04144657346702907,1.955093942053909e-06,0.28821575783985987,0.2882056499038109,1.0268379478397768e-05,0.9998229166666667,0
0.003,10.0,nrev,0.05156296684362366,1.3126488853486262e-05,0.051562303754029704,6.736148256091491e-07,0.3212746916114467,0.3212702933637982,4.46806110317357e-06,0.9999739583333334,0
0.01,0.0,rev,0.11175150811911289,0.0015636795917790842,0.07819966957993277,0.0340844074048814,0.15509610589322337,0.10137162144947194,0.05457725403809662,0.9728958333333333,0
0.01,0.3,nrev,0.075388846341164,0.0013761948945943574,0.05120969417292165,0.024562948234404934,0.17771561206367703,0.1324592524569766,0.04597471452109248,0.9981927083333333,0
0.01,1.0,nrev,0.008961071123830253,3.685500914880764e-05,0.008935082670312889,2.6400968652560897e-05,0.07502425756558113,0.07492046726999393,0.00010543776059651364,0.9998645833333333,0
0.01,2.0,nrev,0.026616951765874676,3.4909533471066734e-05,0.026612547467596996,4.474207774152211e-06,0.20936144835629578,0.20933558912003467,2.6269700328751414e-05,0.9999791666666666,0
0.01,5.0,nrev,0.043532870652964004,1.5445971754505262e-05,0.043530042538073105,2.8730056034612094e-06,0.2871833775040122,0.28716169182664353,2.2029894469719306e-05,0.9999947916666667,0
0.01,10.0,nrev,0.053775182898937,1.985905541004632e-05,0.053767883830479285,7.414926687199223e-06,0.32987081172232147,0.32981118334317466,6.0574861355504825e-05,1.0,0
