exp,arm,eta,s,train_logloss,train_acc
titanic_ball,rev,3e-05,0.0,0.5118199696417767,0.798572097378277
titanic_ball,nrev,3e-05,2.0,0.510414719456717,0.802200374531835
titanic_ball,nrev,3e-05,5.0,0.5097220630525752,0.8062499999999999
titanic_ball,nrev,3e-05,10.0,0.5096088314908662,0.8079119850187264
titanic_ball,rev,0.0001,0.0,0.5083793233455446,0.8071863295880148
titanic_ball,nrev,0.0001,2.0,0.5082754982624212,0.8093398876404493
titanic_ball,nrev,0.0001,5.0,0.5082541029309553,0.8101825842696629
titanic_ball,nrev,0.0001,10.0,0.5088557268582894,0.8100889513108614
titanic_ball,rev,0.0003,0.0,0.5076794286005994,0.8102762172284642
titanic_ball,nrev,0.0003,2.0,0.5077296232344757,0.8110018726591759
titanic_ball,nrev,0.0003,5.0,0.5082151256670067,0.8110252808988764
titanic_ball,nrev,0.0003,10.0,0.5359353196717263,0.7958333333333331
titanic_ball,rev,0.001,0.0,0.507177711762283,0.8114700374531836
titanic_ball,nrev,0.001,2.0,0.5074546321634348,0.8115870786516854
titanic_ball,nrev,0.001,5.0,0.5236680965163087,0.8050561797752807
titanic_ball,nrev,0.001,10.0,0.6120873746114488,0.7160112359550563
titanic_lp,rev,3e-05,0.0,0.48785963724704673,0.8085674157303369
titanic_lp,nrev,3e-05,2.0,0.4859575598631765,0.8109316479400749
titanic_lp,nrev,3e-05,5.0,0.48544544198449024,0.8121254681647938
titanic_lp,nrev,3e-05,10.0,0.4921463214485219,0.8099953183520597
titanic_lp,rev,0.0001,0.0,0.4832358697844949,0.8130852059925094
titanic_lp,nrev,0.0001,2.0,0.48310943821279084,0.8126872659176029
titanic_lp,nrev,0.0001,5.0,0.4908912313177629,0.8093164794007488
titanic_lp,nrev,0.0001,10.0,0.6295882147479774,0.6688904494382021
titanic_lp,rev,0.0003,0.0,0.48254267496418807,0.8139279026217229
titanic_lp,nrev,0.0003,2.0,0.4830935932384577,0.8148174157303373
titanic_lp,nrev,0.0003,5.0,0.5972611225412053,0.7223548689138577
titanic_lp,nrev,0.0003,10.0,0.6719737841272511,0.6139044943820227
titanic_lp,rev,0.001,0.0,0.48206982081700206,0.8150046816479402
titanic_lp,nrev,0.001,2.0,0.5224268177843473,0.7966526217228461
titanic_lp,nrev,0.001,5.0,0.6516906386732525,0.6345973782771535
titanic_lp,nrev,0.001,10.0,0.6827776280050245,0.6134597378277155
