exp,arm,eta,s,train_logloss,train_acc
titanic_ball,rev,0.0003,0.0,0.5076794286005994,0.8102762172284642
titanic_ball,nrev,0.0003,0.1,0.5076783695072011,0.8103464419475654
titanic_ball,nrev,0.0003,0.25,0.5076780791882223,0.8106039325842698
titanic_ball,nrev,0.0003,0.5,0.5076793596777656,0.8106975655430712
titanic_ball,nrev,0.0003,1.0,0.5076940854290146,0.8107209737827716
titanic_ball,nrev,0.0003,2.0,0.5077296232344757,0.8110018726591759
titanic_ball,rev,0.001,0.0,0.507177711762283,0.8114700374531836
titanic_ball,nrev,0.001,0.1,0.5071778111582107,0.8114466292134831
titanic_ball,nrev,0.001,0.25,0.5071811482810669,0.8114934456928838
titanic_ball,nrev,0.001,0.5,0.5071936311446799,0.811493445692884
titanic_ball,nrev,0.001,1.0,0.5072414094700108,0.8116338951310862
titanic_ball,nrev,0.001,2.0,0.5074546321634348,0.8115870786516854
titanic_lp,rev,0.0003,0.0,0.48254267496418807,0.8139279026217229
titanic_lp,nrev,0.0003,0.1,0.48252296848290366,0.8141385767790263
titanic_lp,nrev,0.0003,0.25,0.48250847002535446,0.8140215355805245
titanic_lp,nrev,0.0003,0.5,0.4825220916128796,0.8143258426966293
titanic_lp,nrev,0.0003,1.0,0.48256391662389214,0.8143258426966293
titanic_lp,nrev,0.0003,2.0,0.4830935932384577,0.8148174157303373
titanic_lp,rev,0.001,0.0,0.48206982081700206,0.8150046816479402
titanic_lp,nrev,0.001,0.1,0.48206729754046,0.8150280898876406
titanic_lp,nrev,0.001,0.25,0.4820768127883884,0.8150280898876406
titanic_lp,nrev,0.001,0.5,0.4821330506028256,0.8151217228464421
titanic_lp,nrev,0.001,1.0,0.4825195187480996,0.8156367041198505
titanic_lp,nrev,0.001,2.0,0.5224268177843473,0.7966526217228461
