stage,exp,eta,s,R,d_train_logloss,se_train_logloss,t_train_logloss,d_train_brier,t_train_brier,d_train_acc,t_train_acc,pooled_coord_var_ratio,prob_var_ratio,proj_nrev,train_logloss_rev,train_logloss_nrev,train_acc_rev
search,titanic_ball,3e-05,0.5,60,-0.00029305849170800923,0.00012942898215716957,-2.264241646837177,-0.00017040986210658434,-2.9775147880459327,0.001521535580524347,1.5223834714519116,1.0426297121901762,1.0208977191798119,0.10123333333333333,0.5118199696417767,0.5115269111500687,
search,titanic_ball,3e-05,1.0,60,-0.0007309139214975613,0.0002355709976976393,-3.1027330556018016,-0.0004201587419017184,-3.9410044033955893,0.0033941947565543124,2.922525865497641,1.1619593101964136,1.1301776554331915,0.10485555555555555,0.5118199696417767,0.5110890557202791,
search,titanic_ball,3e-05,2.0,60,-0.0014052501850595886,0.0003326001816409687,-4.225043348221954,-0.0007362989868015137,-4.937912882120006,0.0036282771535580552,2.8172348749742224,1.4020831322667429,1.4464137613670618,0.10833333333333334,0.5118199696417767,0.510414719456717,
search,titanic_ball,3e-05,5.0,60,-0.0020979065892014316,0.0003462934887742291,-6.05817509485196,-0.00105005559178093,-6.573803726358305,0.007677902621722846,5.947313854400061,2.068384831785688,2.105793505924351,0.11106666666666666,0.5118199696417767,0.5097220630525752,
search,titanic_ball,3e-05,10.0,60,-0.002211138150910271,0.0003494942091067281,-6.326680366354902,-0.0011286319135524498,-7.1269499281489574,0.009339887640449435,7.523582147010652,2.4964953393373306,2.6776942632849203,0.11374444444444444,0.5118199696417767,0.5096088314908662,
search,titanic_lp,3e-05,0.5,60,-0.0004939090136417394,0.0002253103482474195,-2.1921275142647434,-0.00029821298461697683,-3.225818210765328,0.001264044943820225,1.8892012608594269,1.2440400303142203,1.2519808495045057,0.043525,0.48785963724704673,0.48736572823340496,
search,titanic_lp,3e-05,1.0,60,-0.0013971407736825,0.00030774292065921587,-4.539960726601561,-0.0006605756063042765,-5.301696958437653,0.0014279026217228466,2.044938847728777,1.430652333991409,1.4655752010555327,0.044875,0.48785963724704673,0.48646249647336415,
search,titanic_lp,3e-05,2.0,60,-0.001902077383870183,0.00036075222501604106,-5.272531260993903,-0.0009044052630133146,-6.158924581970415,0.002364232209737832,3.026690404968992,1.6660633442100863,1.8638876520064562,0.04580833333333333,0.48785963724704673,0.4859575598631765,
search,titanic_lp,3e-05,5.0,60,-0.0024141952625565855,0.00036261154198463,-6.657800381486245,-0.0011363944752758,-7.626237852748704,0.0035580524344569374,4.550968731734888,2.0326708005258727,2.5553942666323204,0.048716666666666665,0.48785963724704673,0.48544544198449024,
search,titanic_lp,3e-05,10.0,60,0.004286684201475073,0.0007321586471845138,5.854857028540662,0.0016033707540754987,5.327860512309292,0.0014279026217228505,1.7088642666689124,1.8391802610842534,2.643132111666105,0.1029,0.48785963724704673,0.4921463214485219,
rev_eta,titanic_ball,1e-05,0.0,60,,,,,,,,,,,0.5527488775505243,,0.7475187265917602
rev_eta,titanic_ball,3e-05,0.0,60,,,,,,,,,,,0.5118199696417767,,0.798572097378277
rev_eta,titanic_ball,0.0001,0.0,60,,,,,,,,,,,0.5083793233455446,,0.8071863295880148
rev_eta,titanic_lp,1e-05,0.0,60,,,,,,,,,,,0.5351973815462171,,0.7658239700374531
rev_eta,titanic_lp,3e-05,0.0,60,,,,,,,,,,,0.48785963724704673,,0.8085674157303369
rev_eta,titanic_lp,0.0001,0.0,60,,,,,,,,,,,0.4832358697844949,,0.8130852059925094
