dataset,stage,arm,eta,rule,c,layout,train,test,train_erg,proj
titanic_ball,rev_eta,rev,0.0001,-,0.0,natural,0.8003979400749063,0.8046554934823091,0.799578192700301,0.29115833333333335
titanic_ball,rev_eta,rev,0.0003,-,0.0,natural,0.7994147940074904,0.8052141527001863,0.7991086509510169,0.484225
titanic_ball,rev_eta,rev,0.001,-,0.0,natural,0.7979166666666667,0.8051210428305401,0.7983738158184619,0.7278666666666667
titanic_ball,rev_eta,rev,0.003,-,0.0,natural,0.7961610486891383,0.803072625698324,0.7968412645957257,0.9144
titanic_ball,ceiling,nrev,0.0001,iso,1.0,natural,0.8002808988764042,0.8055865921787709,0.799105897040464,0.29315833333333335
titanic_ball,ceiling,nrev,0.0001,iso,3.0,natural,0.801006554307116,0.8084729981378025,0.7988658478372621,0.2960833333333333
titanic_ball,ceiling,nrev,0.0001,iso,10.0,natural,0.7977294007490635,0.8046554934823091,0.7963740177719025,0.308325
titanic_ball,ceiling,nrev,0.0001,iso,30.0,natural,0.6575842696629214,0.664711359404097,0.648429353014614,0.9453916666666666
titanic_ball,ceiling,nrev,0.0001,iso,100.0,natural,0.5004213483146067,0.4885474860335196,0.49650482852316963,0.9993333333333333
titanic_ball,ceiling,nrev,0.0001,hess,1.0,natural,0.8004915730337078,0.8055865921787709,0.7990930454578834,0.29313333333333336
titanic_ball,ceiling,nrev,0.0001,hess,3.0,natural,0.801193820224719,0.8090316573556797,0.7988406036571927,0.29609166666666664
titanic_ball,ceiling,nrev,0.0001,hess,10.0,natural,0.7974016853932583,0.8058659217877094,0.796229896452963,0.30935833333333335
titanic_ball,ceiling,nrev,0.0001,hess,30.0,natural,0.6373361423220975,0.6517690875232776,0.6438629103326723,0.9534666666666667
titanic_ball,ceiling,nrev,0.0001,hess,100.0,natural,0.4960674157303372,0.4850093109869646,0.5084457846809135,0.999375
titanic_ball,ceiling,nrev,0.0001,hcond,1.0,natural,0.8004915730337078,0.80512104283054,0.7991068150106482,0.2930583333333333
titanic_ball,ceiling,nrev,0.0001,hcond,3.0,natural,0.8019662921348313,0.8083798882681565,0.7989934456928837,0.296625
titanic_ball,ceiling,nrev,0.0001,hcond,10.0,natural,0.795318352059925,0.8040968342644322,0.795341301314533,0.31861666666666666
titanic_ball,ceiling,nrev,0.0001,hcond,30.0,natural,0.5850187265917604,0.5817504655493482,0.5673813064551664,0.9955416666666667
titanic_ball,ceiling,nrev,0.0001,hcond,100.0,natural,0.49101123595505614,0.4806331471135941,0.4961890467797606,0.999625
titanic_ball,ceiling,nrev,0.0001,grad,1.0,natural,0.8001638576779023,0.8049348230912478,0.7993473231989423,0.29146666666666665
titanic_ball,ceiling,nrev,0.0001,grad,3.0,natural,0.8005617977528089,0.8067970204841713,0.7990494418741277,0.29354166666666665
titanic_ball,ceiling,nrev,0.0001,grad,10.0,natural,0.7981507490636702,0.8059590316573557,0.7969587647793198,0.3026916666666667
titanic_ball,ceiling,nrev,0.0001,grad,30.0,natural,0.5239934456928839,0.5169459962756052,0.5171357494308585,0.7562416666666667
titanic_ball,ceiling,nrev,0.0001,grad,100.0,natural,0.5131086142322097,0.5076350093109869,0.5141151685393258,0.9853083333333333
titanic_ball,layout,nrev,0.0001,iso,3.0,natural,0.801006554307116,0.8084729981378025,0.7988658478372621,0.2960833333333333
titanic_ball,layout,nrev,0.0001,hess,3.0,natural,0.801193820224719,0.8090316573556797,0.7988406036571927,0.29609166666666664
titanic_ball,layout,nrev,0.0001,grad,3.0,natural,0.8005617977528089,0.8067970204841713,0.7990494418741277,0.29354166666666665
titanic_ball,layout,nrev,0.0001,iso,3.0,mixed,0.79688670411985,0.8062383612662942,0.7988759455092895,0.291025
titanic_ball,layout,nrev,0.0001,hess,3.0,mixed,0.797073970037453,0.8062383612662942,0.7988993537489898,0.29115
titanic_ball,layout,nrev,0.0001,hcond,3.0,mixed,0.7972846441947563,0.8070763500931099,0.7988346368509949,0.29268333333333335
titanic_ball,layout,nrev,0.0001,grad,3.0,mixed,0.7966292134831459,0.8069832402234637,0.7987878203715941,0.290325
titanic_ball,layout,nrev,0.0001,iso,3.0,homog,0.7962546816479398,0.8047486033519552,0.798595046632885,0.293425
titanic_ball,layout,nrev,0.0001,hess,3.0,homog,0.7967696629213481,0.8047486033519553,0.7983889623265035,0.29388333333333333
titanic_ball,layout,nrev,0.0001,hcond,3.0,homog,0.7979634831460672,0.8065176908752327,0.7980474774179332,0.29645
titanic_ball,layout,nrev,0.0001,grad,3.0,homog,0.6373595505617976,0.6462756052141525,0.6366311412205333,0.8903
titanic_ball,nrev_eta,nrev,0.0001,hcond,3.0,natural,0.8019662921348313,0.8083798882681565,0.7989934456928837,0.296625
titanic_ball,nrev_eta,nrev,0.0003,hcond,3.0,natural,0.7987827715355803,0.8081005586592179,0.7980851141954907,0.48959166666666665
titanic_ball,nrev_eta,nrev,0.001,hcond,3.0,natural,0.7946863295880148,0.8027932960893855,0.7955134207240946,0.7440583333333334
titanic_ball,nrev_eta,nrev,0.003,hcond,3.0,natural,0.734316479400749,0.7428305400372438,0.7319187412792834,0.9827916666666666
magic_ball,rev_eta,rev,0.0001,-,0.0,natural,0.7833234752891693,0.7841351209253417,0.7827897234077648,0.6798
magic_ball,rev_eta,rev,0.0003,-,0.0,natural,0.6295281282860147,0.6232649842271293,0.62959268881054,0.9999
magic_ball,rev_eta,rev,0.001,-,0.0,natural,0.5552707676130388,0.5565457413249212,0.5550752175212882,1.0
magic_ball,rev_eta,rev,0.003,-,0.0,natural,0.5480283911671924,0.5496582544689801,0.5479406996762953,1.0
magic_ball,ceiling,nrev,0.0001,iso,1.0,natural,0.783234752891693,0.7841876971608833,0.782773293334158,0.6833
magic_ball,ceiling,nrev,0.0001,iso,10.0,natural,0.5017087276550999,0.5015904311251314,0.5006622286138429,0.9999
magic_ball,ceiling,nrev,0.0001,iso,100.0,natural,0.5372601209253417,0.5370793901156676,0.5369931805529782,1.0
magic_ball,ceiling,nrev,0.0001,hess,1.0,natural,0.7832248948475289,0.7840431125131441,0.7827866306880271,0.68155
magic_ball,ceiling,nrev,0.0001,hess,10.0,natural,0.5601997896950579,0.5588853838065194,0.5593149496917589,0.99955
magic_ball,ceiling,nrev,0.0001,hess,100.0,natural,0.5098843322818086,0.5073080967402733,0.512078230345766,1.0
magic_ball,ceiling,nrev,0.0001,hcond,1.0,natural,0.7829817297581493,0.783832807570978,0.7827361162656439,0.69775
magic_ball,ceiling,nrev,0.0001,hcond,10.0,natural,0.4839083859095689,0.48129600420609897,0.48319486969340836,1.0
magic_ball,ceiling,nrev,0.0001,hcond,100.0,natural,0.5438452944269189,0.5359227129337538,0.5434771319148057,1.0
magic_ball,ceiling,nrev,0.0001,grad,1.0,natural,0.7832478969505783,0.7840825446898003,0.7827782545720707,0.68135
magic_ball,ceiling,nrev,0.0001,grad,10.0,natural,0.5432570977917981,0.5433491062039957,0.5429118729510732,0.9995
magic_ball,ceiling,nrev,0.0001,grad,100.0,natural,0.48375394321766557,0.48137486855941114,0.501022079441661,1.0
magic_ball,layout,nrev,0.0001,iso,1.0,natural,0.783234752891693,0.7841876971608833,0.782773293334158,0.6833
magic_ball,layout,nrev,0.0001,hess,1.0,natural,0.7832248948475289,0.7840431125131441,0.7827866306880271,0.68155
magic_ball,layout,nrev,0.0001,hcond,1.0,natural,0.7829817297581493,0.783832807570978,0.7827361162656439,0.69775
magic_ball,layout,nrev,0.0001,iso,1.0,mixed,0.7831723186119873,0.7838459516298633,0.7828127255108142,0.6835
magic_ball,layout,nrev,0.0001,hess,1.0,mixed,0.7831854626708727,0.7838985278654049,0.7828227124183007,0.68365
magic_ball,layout,nrev,0.0001,hcond,1.0,mixed,0.783139458464774,0.7839642481598319,0.7828185887919836,0.68335
magic_ball,layout,nrev,0.0001,grad,1.0,mixed,0.7831953207150368,0.7840168243953733,0.7828203284468364,0.68285
