tag,rev_eta,rev_train,rev_test,nrev_eta,nrev_s,nrev_train,nrev_test,gap_train,gap_test
base,3e-05,0.799903441011236,0.8058659217877095,0.0001,5.0,0.801439606741573,0.8088337988826816,0.0015361657303369913,0.002967877094972038
lam50,0.0001,0.7720330056179776,0.7838687150837989,0.0001,1.0,0.7724280196629213,0.7817737430167597,0.00039501404494368675,-0.0020949720670391248
lam200,0.0001,0.616968047752809,0.6145251396648045,3e-06,1.0,0.6167047050561798,0.6145251396648045,-0.0002633426966291985,0.0
tight_r2,3e-05,0.733497191011236,0.7300977653631285,3e-05,1.0,0.7351211376404494,0.7341131284916201,0.0016239466292133908,0.0040153631284916
within10,3e-05,0.7843662219101124,0.8044692737430168,3e-05,1.0,0.7840150983146067,0.8041201117318436,-0.00035112359550570904,-0.00034916201117318746
within30,1e-05,0.7556179775280898,0.7852653631284916,1e-05,5.0,0.7666783707865169,0.7894553072625698,0.011060393258427115,0.0041899441340782495
between10,3e-05,0.7863851825842697,0.7824720670391062,3e-05,5.0,0.7874824438202247,0.7842178770949721,0.0010972612359549938,0.0017458100558659373
w10_lam50,0.0001,0.7638254915730336,0.7849162011173184,0.0001,1.0,0.7652299859550562,0.785963687150838,0.0014044943820226141,0.0010474860335195624
w10_tight,3e-05,0.7423191713483146,0.7706005586592178,3e-05,5.0,0.742406952247191,0.7693784916201117,8.77808988763995e-05,-0.0012220670391061006
w10_lp,3e-05,0.7681706460674157,0.7929469273743016,3e-05,1.0,0.7682584269662922,0.7934706703910615,8.778089887651053e-05,0.0005237430167598367
