stage,exp,init,arm,eta,s,train,test,proj,nbad,d_train,t_train
search,titanic_ball,boundary,rev,1e-06,-,0.5541169241573034,0.5628491620111732,0.006395833333333333,0,,
search,titanic_ball,boundary,nrev,1e-06,u0.25,0.5547752808988764,0.5631983240223464,0.0064375,0,0.0006583567415730414,0.8279514994875622
search,titanic_ball,boundary,nrev,1e-06,u1,0.5563114466292135,0.5619762569832402,0.0066458333333333335,0,0.0021945224719101004,1.2476377615044574
search,titanic_ball,boundary,nrev,1e-06,u2,0.5580231741573033,0.5642458100558659,0.0066458333333333335,0,0.003906250000000002,1.0627963969409453
search,titanic_ball,boundary,nrev,1e-06,u5,0.5686446629213483,0.5668645251396649,0.006791666666666666,0,0.014527738764044937,2.090302784325064
search,titanic_ball,boundary,nrev,1e-06,b2_5,0.565747893258427,0.5714036312849162,0.0066458333333333335,0,0.011630969101123595,2.2023054699000784
search,titanic_ball,boundary,nrev,1e-06,gn1,0.5567064606741573,0.5638966480446927,0.006625,0,0.002589536516853924,1.4480558377854642
search,titanic_ball,boundary,nrev,1e-06,gn5,0.5689080056179776,0.5693086592178771,0.006895833333333334,0,0.014791081460674153,1.9213800681296453
search,titanic_ball,boundary,rev,3e-06,-,0.653002106741573,0.6651536312849162,0.005541666666666667,0,,
search,titanic_ball,boundary,nrev,3e-06,u0.25,0.6522120786516854,0.6667248603351956,0.005583333333333333,0,-0.0007900280898876302,-0.5905916052809732
search,titanic_ball,boundary,nrev,3e-06,u1,0.6492714185393258,0.6606145251396648,0.005958333333333334,0,-0.0037306882022471975,-1.0529296724124593
search,titanic_ball,boundary,nrev,3e-06,u2,0.6513781601123595,0.6611382681564246,0.006333333333333333,0,-0.001623946629213488,-0.3159178734867972
search,titanic_ball,boundary,nrev,3e-06,u5,0.6698999297752809,0.6808659217877095,0.0060625,0,0.01689782303370787,2.78999921603339
search,titanic_ball,boundary,nrev,3e-06,b2_5,0.6700754915730338,0.6878491620111732,0.006125,0,0.01707338483146067,2.885508861238842
search,titanic_ball,boundary,nrev,3e-06,gn1,0.6495786516853933,0.6597416201117319,0.005958333333333334,0,-0.0034234550561797715,-0.9764282835429532
search,titanic_ball,boundary,nrev,3e-06,gn5,0.6749473314606742,0.6868016759776536,0.006395833333333333,0,0.021945224719101118,3.000235382538282
search,titanic_ball,boundary,rev,1e-05,-,0.7484638342696629,0.7552374301675977,0.014479166666666666,0,,
search,titanic_ball,boundary,nrev,1e-05,u0.25,0.7481127106741573,0.754713687150838,0.014875,0,-0.00035112359550561884,-0.22787342573774214
search,titanic_ball,boundary,nrev,1e-05,u1,0.7543890449438202,0.7609986033519553,0.0166875,0,0.005925210674157296,1.0954980515462989
search,titanic_ball,boundary,nrev,1e-05,u2,0.7644399578651685,0.7716480446927374,0.017083333333333332,0,0.01597612359550561,2.322717164524118
