stage,arm,eta,s,train,test,train_sd,proj,nbad,d_train,t_train
search,rev,1e-05,-,0.695531952247191,0.6868016759776535,0.018217169417781655,0.0004583333333333333,0,,
search,nrev,1e-05,u0.25,0.6956197331460674,0.6850558659217876,0.017278604223005145,0.0004583333333333333,0,8.778089887640471e-05,0.1642581141112733
search,nrev,1e-05,u1,0.7082382373595506,0.7016410614525139,0.019581927937124568,0.0004583333333333333,0,0.012706285112359548,11.580183813900332
search,nrev,1e-05,u2,0.7844759480337079,0.8051675977653632,0.017661188874036376,0.0004583333333333333,0,0.08894399578651685,33.209219142376064
search,nrev,1e-05,u5,0.7518653441011236,0.746159217877095,0.024887772659846433,0.0020729166666666665,0,0.05633339185393258,20.22709523914433
search,nrev,1e-05,b2_5,0.7487930126404494,0.7448498603351955,0.02418568142559216,0.0012708333333333332,0,0.053261060393258425,19.71186330003039
search,nrev,1e-05,gn5,0.7494513693820224,0.7431913407821229,0.021113612608936214,0.0025,0,0.05391941713483146,24.75747151689197
search,rev,3e-05,-,0.7962824789325843,0.8021124301675977,0.011639548169675011,0.04303125,0,,
search,nrev,3e-05,u0.25,0.7963922050561798,0.8016759776536313,0.011442963181932924,0.04653125,0,0.00010972612359550112,0.32387513781563476
search,nrev,3e-05,u1,0.7985208918539326,0.8052548882681565,0.009937357045505482,0.07367708333333334,0,0.0022384129213483157,2.2757737125443045
search,nrev,3e-05,u2,0.7995303721910112,0.8049930167597765,0.010013669221470485,0.09779166666666667,0,0.0032478932584269603,2.5333110754182244
search,nrev,3e-05,u5,0.7978186446629214,0.8055167597765364,0.010638868359688474,0.10536458333333333,0,0.0015361657303370729,1.0367621205693964
search,nrev,3e-05,b2_5,0.7990256320224719,0.8042074022346368,0.009742581353771887,0.09961458333333334,0,0.002743153089887632,2.236545158038187
search,nrev,3e-05,gn5,0.7995303721910112,0.8065642458100559,0.009477111188142567,0.10554166666666667,0,0.003247893258426964,2.120822452454951
search,rev,0.0001,-,0.7993767556179776,0.8057786312849162,0.008607900752901168,0.24651041666666668,0,,
search,nrev,0.0001,u0.25,0.7995084269662922,0.8049930167597765,0.008815574504671698,0.24839583333333334,0,0.00013167134831460793,0.389624471659142
search,nrev,0.0001,u1,0.8002984550561798,0.8052548882681564,0.008761688797852477,0.2640625,0,0.0009216994382022451,1.2211569528852755
search,nrev,0.0001,u2,0.7987622893258426,0.8047311452513967,0.010209454838269124,0.2775,0,-0.0006144662921348312,-0.6526632873346481
search,nrev,0.0001,u5,0.7977966994382022,0.8045565642458101,0.010250774117597145,0.28654166666666664,0,-0.0015800561797752865,-1.2721865471882754
search,nrev,0.0001,b2_5,0.7994425912921348,0.8039455307262571,0.011481782478578489,0.28241666666666665,0,6.583567415729963e-05,0.05518743117106435
