stage,experiment,eta,s,R,d_train_avg,se,t,win
select,titanic_ball,3e-05,"(0.25,0.25,0.25)",200,-0.0004075348808495022,0.0001375018701021842,-2.963849731982871,0.4
select,titanic_ball,3e-05,"(1,1,1)",200,0.0003738887516977224,0.00040101500424633707,0.9323560159560728,0.55
select,titanic_ball,3e-05,"(2,2,2)",200,0.0021620724780837203,0.0005021145850020036,4.305934427447657,0.635
select,titanic_ball,3e-05,"balanced(1.669, 0.666, 0.665)",200,-0.00015040437091000115,0.00032222650363981486,-0.4667659835893677,0.49
select,titanic_ball,3e-05,"balanced(3.338, 1.331, 1.33)",200,0.0011426565008025651,0.00044891136619121724,2.545394451687467,0.595
select,titanic_ball,0.0001,"(0.25,0.25,0.25)",200,-8.187739227065838e-05,4.301158561049786e-05,-1.9036125059912818,0.425
select,titanic_ball,0.0001,"(1,1,1)",200,-0.00020565810593899168,0.00010999372802580974,-1.8697257528241478,0.385
select,titanic_ball,0.0001,"(2,2,2)",200,-0.0002002562044696976,0.00014422972516358562,-1.388453068482011,0.43
select,titanic_ball,0.0001,"balanced(1.669, 0.666, 0.665)",200,-0.00018775466106927874,9.200273067423266e-05,-2.0407509613392754,0.405
select,titanic_ball,0.0001,"balanced(3.338, 1.331, 1.33)",200,-0.00021576737868875484,0.0001358339968022264,-1.5884637408034974,0.4
select,titanic_lp,3e-05,"(0.25,0.25,0.25)",200,0.0010526743430216395,0.00015915513830850963,6.614139852532525,0.69
select,titanic_lp,3e-05,"(1,1,1)",200,0.0017498723186925719,0.00030765562502399886,5.687763123317092,0.655
select,titanic_lp,3e-05,"(2,2,2)",200,0.002059615563190712,0.0003151676092360494,6.534984886876915,0.675
select,titanic_lp,3e-05,"balanced(1.663, 0.653, 0.683)",200,0.0017633949298913876,0.0002849315445440197,6.188837156354082,0.65
select,titanic_lp,3e-05,"balanced(3.327, 1.307, 1.367)",200,0.0018296731358529333,0.0003250911894997117,5.628184321662633,0.595
select,titanic_lp,0.0001,"(0.25,0.25,0.25)",200,1.009843068062899e-05,4.876321646365336e-05,0.20709115216294352,0.535
select,titanic_lp,0.0001,"(1,1,1)",200,5.8501253598307604e-05,9.4052913161578e-05,0.6220036321236058,0.51
select,titanic_lp,0.0001,"(2,2,2)",200,-0.00022419676850218452,0.00010583526538723175,-2.1183559910951213,0.43
select,titanic_lp,0.0001,"balanced(1.663, 0.653, 0.683)",200,6.819342557341179e-05,8.682352213113995e-05,0.7854256991603162,0.545
select,titanic_lp,0.0001,"balanced(3.327, 1.307, 1.367)",200,-0.00010510493081994865,0.00010541492612024651,-0.9970592845652214,0.44
select,magic_ball,3e-06,"(0.25,0.25,0.25)",150,-3.1818678066897197e-06,9.776280239340091e-06,-0.32546814624705345,0.5133333333333333
select,magic_ball,3e-06,"(1,1,1)",150,-9.703619428492369e-06,3.255904755612851e-05,-0.2980314277241774,0.5266666666666666
select,magic_ball,3e-06,"(2,2,2)",150,8.29943171697134e-05,4.193899452527499e-05,1.9789295883022653,0.5333333333333333
select,magic_ball,3e-06,"balanced(0.207, 0.492, 2.3)",150,0.00011954629294442798,4.0895050134730325e-05,2.9232460297903557,0.5533333333333333
select,magic_ball,3e-06,"balanced(0.414, 0.985, 4.601)",150,0.00020349588871076296,5.972833168666857e-05,3.4070244884503187,0.5866666666666667
select,magic_ball,1e-05,"(0.25,0.25,0.25)",150,5.0277820873205015e-06,4.591007155059629e-06,1.0951370619798564,0.5466666666666666
select,magic_ball,1e-05,"(1,1,1)",150,1.1168858779702824e-05,1.3607016527482208e-05,0.8208161397573807,0.5066666666666667
select,magic_ball,1e-05,"(2,2,2)",150,5.07805990817974e-06,1.942071717203737e-05,0.2614764358697993,0.5133333333333333
select,magic_ball,1e-05,"balanced(0.207, 0.492, 2.3)",150,2.4298552573400004e-05,1.2584044067771674e-05,1.9309017389433445,0.5466666666666666
select,magic_ball,1e-05,"balanced(0.414, 0.985, 4.601)",150,7.900800422933804e-06,1.8707606766911555e-05,0.4223309010807345,0.5266666666666666
select,magic_lp,3e-06,"(0.25,0.25,0.25)",150,6.105163963517531e-07,1.6905047914506216e-05,0.0361144434159142,0.44666666666666666
select,magic_lp,3e-06,"(1,1,1)",150,-2.9304787023017493e-06,3.637142893894484e-05,-0.08057089830649818,0.4533333333333333
select,magic_lp,3e-06,"(2,2,2)",150,1.4393821861381125e-05,5.3349792865670274e-05,0.2698008949654857,0.48
select,magic_lp,3e-06,"balanced(0.208, 0.491, 2.301)",150,6.291191900389995e-05,5.602273945198528e-05,1.1229711295681837,0.5333333333333333
select,magic_lp,3e-06,"balanced(0.416, 0.982, 4.602)",150,0.00010574143984189544,6.271304464174493e-05,1.686115551333138,0.5133333333333333
select,magic_lp,1e-05,"(0.25,0.25,0.25)",150,-1.9773548694778468e-05,8.465234923896921e-06,-2.335853508206696,0.4066666666666667
select,magic_lp,1e-05,"(1,1,1)",150,-6.005326575992139e-05,1.8636908235179053e-05,-3.2222761952846217,0.44666666666666666
select,magic_lp,1e-05,"(2,2,2)",150,-7.784443180314755e-05,2.4804678347046464e-05,-3.1382963614368586,0.4066666666666667
select,magic_lp,1e-05,"balanced(0.208, 0.491, 2.301)",150,-1.8516603172943717e-05,1.942883987636501e-05,-0.9530472890184751,0.4666666666666667
select,magic_lp,1e-05,"balanced(0.416, 0.982, 4.602)",150,-2.024759672014061e-05,2.3967100969713706e-05,-0.8448079200620346,0.5066666666666667
