experiment,dataset,geometry,h,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
magic_ball,magic,ball,0.0001,reversible (no J),,reversible,0.7725679284963196,0.7741298633017876,0.006437365741082006,0.7688748685594112,0.005820607209643673,0.0,0.0,0.0,0.0,7701.965582233927,0.7214,0
magic_ball,magic,ball,0.0001,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7725679284963196,0.7741298633017876,0.006437365741082006,0.7688748685594112,0.005820607209643673,0.0,0.0,0.0,0.0,7701.965582233927,0.7214,0
magic_ball,magic,ball,0.0001,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7725835962145109,0.774143007360673,0.0063640437506957805,0.7689800210304942,0.005840361575644596,1.566771819137447e-05,9.759089751272042e-06,0.0001051524710830698,5.678882490718383e-05,7701.962770090014,0.7212,0
magic_ball,magic,ball,0.0001,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7726217665615143,0.774148264984227,0.0062688020916867185,0.7689800210304942,0.005927470226487429,5.383806519450474e-05,1.9392792765181226e-05,0.0001051524710830698,0.00011558802977806553,7702.037041005065,0.72152,0
magic_ball,magic,ball,0.0001,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7726074658254469,0.7742008412197687,0.006312008047025572,0.7689905362776024,0.00614512516453043,3.9537329127243835e-05,3.481512939016645e-05,0.00011566771819137677,0.0001606804078857627,7702.367786220112,0.72212,0
magic_ball,magic,ball,0.0001,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.772473291272345,0.7741508937960043,0.006301216910114895,0.7691167192429021,0.005887266868629778,-9.46372239747717e-05,6.679889523918486e-05,0.00024185068349106054,0.0003937137501916193,7704.918812478918,0.72664,0
magic_ball,magic,ball,0.0001,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.7716995793901157,0.7736540483701367,0.0068742642589703536,0.7687907465825446,0.005575581084488768,-0.0008683491062039827,0.0001462957349287176,-8.412197686645584e-05,0.0008370636465765788,7714.503792654466,0.74188,0
magic_ball,magic,ball,0.0001,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.7677314405888538,0.7707518401682439,0.00987282526051552,0.7660883280757098,0.008097920876595421,-0.004836487907465803,0.00034917712983970317,-0.002786540483701363,0.0017676356622855552,7760.990675939437,0.79108,0
magic_ball,magic,ball,0.0001,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.7387749737118823,0.7434148264984227,0.027268326150258013,0.740347003154574,0.02522912083414092,-0.03379295478443742,0.0015572408194791955,-0.02852786540483701,0.005174044765297002,8284.879201621896,0.89396,0
magic_ball,magic,ball,0.0001,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.6650178759200841,0.6784411146161935,0.060103992988991724,0.6742060988433228,0.059421600391054236,-0.10755005257623551,0.002900792518796061,-0.09466876971608831,0.012193071376875845,9953.033065028409,0.94584,0
