experiment,dataset,geometry,h,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
magic_lp,magic,lp,0.0001,reversible (no J),,reversible,0.7748668769716089,0.775822818086225,0.005287112250934119,0.7690641430073606,0.005574031557258244,0.0,0.0,0.0,0.0,7543.98426198281,0.32172,0
magic_lp,magic,lp,0.0001,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7748668769716089,0.775822818086225,0.005287112250934119,0.7690641430073606,0.005574031557258244,0.0,0.0,0.0,0.0,7543.98426198281,0.32172,0
magic_lp,magic,lp,0.0001,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7748062039957939,0.7757018927444794,0.0053732091749376714,0.768874868559411,0.005912878909796174,-6.067297581497488e-05,2.024066711459338e-05,-0.00018927444794952563,0.00012924916976860972,7544.194628904433,0.32208,0
magic_lp,magic,lp,0.0001,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7746559411146162,0.7755993690851735,0.005503530885873059,0.7688433228180862,0.006188753725394874,-0.00021093585699264228,3.6413322984124646e-05,-0.00022082018927444658,0.0002426874079651406,7545.285459583173,0.32512,0
magic_lp,magic,lp,0.0001,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7742409043112514,0.775068349106204,0.00560937503334214,0.7685804416403786,0.006824674180966275,-0.0006259726603575455,6.232212148055427e-05,-0.0004837013669821255,0.000445007444153499,7549.2825795353565,0.33476,0
magic_lp,magic,lp,0.0001,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.7718543638275499,0.773593585699264,0.007151468320957535,0.7678338590956888,0.00784421752873087,-0.0030125131440589038,0.00017455069223712587,-0.0012302839116719254,0.0008516592853179237,7579.964973476477,0.39784,0
magic_lp,magic,lp,0.0001,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.7599440588853839,0.766130389064143,0.01108876334596186,0.7617981072555204,0.010634867710103336,-0.014922818086225052,0.0005801223940395609,-0.007266035751840158,0.0019140975296595471,7758.528798156532,0.59416,0
magic_lp,magic,lp,0.0001,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.6577533123028391,0.6643243953732914,0.05939600724022617,0.6603470031545742,0.05706623410837059,-0.11711356466876978,0.0026425571768829443,-0.10871713985278653,0.011791493932571898,11233.440488750408,0.89876,0
magic_lp,magic,lp,0.0001,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.556289905362776,0.5588827549947424,0.08819827664385282,0.5563722397476341,0.08711993150527911,-0.21857697160883283,0.003108687465663357,-0.21269190325972662,0.017320976745657087,15967.960125465339,0.96372,0
magic_lp,magic,lp,0.0001,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.5379252365930599,0.5321188222923239,0.09920932590551301,0.5309779179810725,0.0965949927018748,-0.23694164037854892,0.00308318882262369,-0.23808622502628815,0.019381859906900827,16880.94832742574,0.98024,0
