experiment,dataset,geometry,h,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
titanic_lp,titanic,lp,0.0001,reversible (no J),,reversible,0.80104606741573,0.8011235955056181,0.009914709075162622,0.8089385474860336,0.014692489607131742,0.0,0.0,0.0,0.0,344.77810219722727,0.16942,0
titanic_lp,titanic,lp,0.0001,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.80104606741573,0.8011235955056181,0.009914709075162622,0.8089385474860336,0.014692489607131742,0.0,0.0,0.0,0.0,344.77810219722727,0.16942,0
titanic_lp,titanic,lp,0.0001,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.8009808988764042,0.8012359550561798,0.009612667095161738,0.8087150837988828,0.014268612852506897,-6.516853932582834e-05,4.741342273881177e-05,-0.00022346368715083997,0.00022346368715084,344.7805545355601,0.16956,0
titanic_lp,titanic,lp,0.0001,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.800873033707865,0.801685393258427,0.009577374787209169,0.8093854748603354,0.014453339226765172,-0.00017303370786515783,0.00010219315771939171,0.00044692737430167105,0.0005511600963481855,344.7841262676622,0.17016,0
titanic_lp,titanic,lp,0.0001,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.8009606741573032,0.8015730337078653,0.009399974974471127,0.8082681564245812,0.013846786923665777,-8.539325842694456e-05,0.00020270495427898724,-0.0006703910614525244,0.0008108581399283882,344.7897919671076,0.17076,0
titanic_lp,titanic,lp,0.0001,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.8014134831460672,0.8013483146067416,0.008938883134728563,0.8078212290502794,0.015214278061795327,0.00036741573033708617,0.0004653405072128098,-0.001117318435754191,0.0014059282002366375,344.83205617603113,0.17268,0
titanic_lp,titanic,lp,0.0001,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.8009561797752807,0.8010674157303371,0.009687278768822142,0.8098324022346369,0.016719380242292477,-8.988764044937092e-05,0.0005965117639745401,0.0008938547486033421,0.0022734066982542803,345.19324130738767,0.17522,0
titanic_lp,titanic,lp,0.0001,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.8007831460674155,0.8014044943820225,0.00867685065208363,0.8060335195530726,0.01718274469187676,-0.0002629213483145776,0.0006715635183887857,-0.0029050279329608975,0.0026815642458100563,345.3024894115027,0.17712,0
titanic_lp,titanic,lp,0.0001,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.7984033707865166,0.7975280898876405,0.01242851884294947,0.8062569832402235,0.01673803680034783,-0.002642696629213459,0.0009137002151441623,-0.002681564245810062,0.003749265192304474,347.4204151566213,0.18252,0
titanic_lp,titanic,lp,0.0001,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.793531460674157,0.7941011235955056,0.010673233253911972,0.8067039106145251,0.01415147500332463,-0.007514606741572987,0.0013023383163626927,-0.0022346368715083953,0.004092599809280426,348.61007504187086,0.19564,0
titanic_lp,titanic,lp,0.0001,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.7719112359550562,0.7767415730337077,0.026280313013374978,0.7807821229050279,0.027334368318938696,-0.02913483146067404,0.0032406219598035647,-0.028156424581005604,0.005553720797425306,362.15383628482755,0.2589,0
titanic_lp,titanic,lp,0.0001,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.7207247191011237,0.7165730337078652,0.049285880534197024,0.7296089385474861,0.05883630271128335,-0.0803213483146065,0.009000394231711265,-0.0793296089385475,0.012525267576015076,408.24094071866676,0.42794,0
titanic_lp,titanic,lp,0.0001,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.6645707865168538,0.6723033707865169,0.0874955286489577,0.6811173184357542,0.09074157524497646,-0.1364752808988762,0.009389304110950835,-0.12782122905027934,0.017593537962872587,464.2670946448367,0.69478,0
titanic_lp,titanic,lp,0.0001,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.7124202247191012,0.7075280898876405,0.04872785931528617,0.7264804469273742,0.04809771445251309,-0.08862584269662889,0.0076966831923528985,-0.08245810055865922,0.00967776657397811,421.06037766922964,0.4259,0
titanic_lp,titanic,lp,0.0001,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.8014157303370786,0.8025842696629213,0.007966508715882321,0.8053631284916202,0.01484043976975552,0.0003696629213483682,0.0007379744716118161,-0.003575418994413404,0.0020368728363315183,344.8460558833506,0.17318,0
titanic_lp,titanic,lp,3e-05,reversible (no J),,reversible,0.7958853932584268,0.7992134831460673,0.007918907505062047,0.8067039106145252,0.01329874940138334,0.0,0.0,0.0,0.0,346.01730417928354,0.03666,0
titanic_lp,titanic,lp,3e-05,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7958853932584268,0.7992134831460673,0.007918907505062047,0.8067039106145252,0.01329874940138334,0.0,0.0,0.0,0.0,346.01730417928354,0.03666,0
titanic_lp,titanic,lp,3e-05,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7958112359550559,0.7992696629213485,0.008318196284588634,0.8071508379888269,0.013113625245034087,-7.415730337076987e-05,9.89795597416204e-05,0.00044692737430167105,0.0006386006778205673,345.9939871698679,0.0369,0
titanic_lp,titanic,lp,3e-05,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7955337078651684,0.7989325842696628,0.008384725593595103,0.8080446927374303,0.011837776592411786,-0.0003516853932584052,0.00024722888712207095,0.0013407821229050264,0.0011753991685705414,345.953951664242,0.037,0
titanic_lp,titanic,lp,3e-05,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7953314606741572,0.7980337078651685,0.008358413422920007,0.8053631284916202,0.011018482080064817,-0.000553932584269643,0.0005053305466826495,-0.0013407821229050264,0.001715244534773848,345.8774899660746,0.0375,0
titanic_lp,titanic,lp,3e-05,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.7968359550561795,0.8002247191011236,0.008232382049635984,0.8006703910614525,0.012145753340126885,0.0009505617977528225,0.0009360266551155467,-0.006033519553072622,0.002658184861088345,345.66056977423796,0.03848,0
titanic_lp,titanic,lp,3e-05,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.7987730337078648,0.802752808988764,0.00821038793593179,0.8060335195530728,0.013053990441952977,0.0028876404494381936,0.0010238394772500569,-0.000670391061452511,0.003082260161817593,345.430756078025,0.04168,0
titanic_lp,titanic,lp,3e-05,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.7993595505617975,0.8017415730337079,0.008953582837364743,0.8098324022346369,0.012120029866125124,0.003474157303370777,0.0014310161793197503,0.0031284916201117243,0.002813335935645626,346.19111995261693,0.04546,0
titanic_lp,titanic,lp,3e-05,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.7982797752808986,0.7998876404494382,0.008339906089496344,0.8044692737430168,0.012901681993064275,0.0023943820224718595,0.0013088986241487671,-0.0022346368715083775,0.0031930033891028426,346.8716173283095,0.04574,0
titanic_lp,titanic,lp,3e-05,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.7996483146067412,0.8010674157303371,0.00920881458864355,0.8046927374301677,0.014011101903893243,0.0037629213483146894,0.0015046765322040648,-0.002011173184357533,0.0028827393062223227,346.79737575451463,0.04872,0
titanic_lp,titanic,lp,3e-05,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.7936573033707864,0.7916292134831461,0.014160804884744306,0.80268156424581,0.017645732858164415,-0.002228089887640321,0.0022947975326876144,-0.004022346368715084,0.0033754607256230042,349.24075092909845,0.05616,0
titanic_lp,titanic,lp,3e-05,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.7841247191011234,0.7832584269662921,0.020372109110473963,0.7950837988826815,0.02901623847131265,-0.011760674157303325,0.0034426602026216392,-0.011620111731843576,0.005386741932741805,355.18637169864763,0.07056,0
titanic_lp,titanic,lp,3e-05,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.764787640449438,0.7637078651685394,0.03091025922442057,0.7711731843575419,0.033731483964002246,-0.03109775280898861,0.006173924690522909,-0.03553072625698324,0.007006516144199485,368.3045439399706,0.11222,0
titanic_lp,titanic,lp,3e-05,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.784702247191011,0.7856179775280898,0.022031916781517454,0.7941899441340783,0.02687377311911887,-0.01118314606741571,0.0030241545376922807,-0.012513966480446918,0.004553215430007377,354.8175289428688,0.06142,0
titanic_lp,titanic,lp,3e-05,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.7961449438202244,0.8001685393258429,0.008244752877213012,0.8062569832402235,0.01256672835665027,0.00025955056179776114,0.0012307349330220579,-0.00044692737430167994,0.002716256040478933,346.39894390073823,0.03994,0
