experiment,dataset,geometry,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
magic_lp,magic,lp,reversible (no J),,reversible,0.7749549596915527,0.7735672975814932,0.011288498873010535,0.7684542586750788,0.008633196963176014,0.0,0.0,0.0,0.0,7569.177143809522,0.3218,0
magic_lp,magic,lp,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7749549596915527,0.7735672975814932,0.011288498873010535,0.7684542586750788,0.008633196963176014,0.0,0.0,0.0,0.0,7569.177143809522,0.3218,0
magic_lp,magic,lp,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7749065895548547,0.7735125306694707,0.011444934959300098,0.7685243603224675,0.008550081199852433,-4.8370136698161484e-05,1.4961123059454077e-05,7.01016473887169e-05,0.00014311905784553157,7569.793929895285,0.32176666666666665,0
magic_lp,magic,lp,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7747796179460217,0.7733876621100594,0.011436460809889124,0.7683315807921485,0.008550694337319645,-0.00017534174553098433,3.172130010831282e-05,-0.0001226778829302481,0.00019187090217988645,7571.572741546682,0.3249,0
magic_lp,magic,lp,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7744161409043112,0.7729889589905363,0.011746979564763352,0.7681563266736767,0.008398002968883425,-0.0005388187872414907,6.106862065983374e-05,-0.0002979320014020274,0.00032325093466205654,7576.5447827013295,0.3326,0
magic_lp,magic,lp,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.7722239747634071,0.771799421661409,0.011925867410575877,0.7680949877322115,0.008592437576930186,-0.002730984928145767,0.00015695760388809455,-0.00035927094286714403,0.0007846532899391274,7605.661172959254,0.39513333333333334,0
magic_lp,magic,lp,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.760941990886786,0.7640049947423765,0.014698994098656491,0.7624605678233437,0.01255403673339746,-0.014012968804766846,0.0005438272888796523,-0.005993690851735004,0.0018053227615812879,7788.468620060143,0.5945333333333334,0
magic_lp,magic,lp,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.6540225201542236,0.6512662110059587,0.08408564108756234,0.6510077111812129,0.08264528558857867,-0.12093243953732907,0.00302467191793574,-0.11744654749386613,0.014739662227756932,11721.158159847482,0.8945,0
magic_lp,magic,lp,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.5619229758149318,0.5890378548895899,0.08848050982020224,0.5869610935856994,0.08423165825479552,-0.213031983876621,0.0032334300166106133,-0.18149316508937963,0.014528302163602336,15060.352835789316,0.9633,0
magic_lp,magic,lp,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.5410934104451454,0.5356379249912372,0.1042578136918816,0.5353399929898351,0.09952911869873439,-0.23386154924640726,0.002793839249495776,-0.23311426568524357,0.018562937820911618,16367.80046475487,0.9798666666666667,0
magic_lp,magic,lp,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.5207251139151771,0.5099084297230986,0.09547434113375101,0.5109095688748686,0.09299217539477699,-0.2542298457763757,0.004522734022165826,-0.2575446898002103,0.01737435115511493,18201.36683402831,0.9914,0
magic_lp,magic,lp,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.513650455660708,0.5178627760252366,0.10376959196243536,0.516447599018577,0.10014540789675182,-0.26130450403084465,0.0037362382481280227,-0.25200665965650193,0.018631519875791636,17397.573757246653,0.9946,0
magic_lp,magic,lp,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.5097789169295479,0.5088087101296881,0.1139553774485494,0.5059849281458113,0.1116381948850051,-0.26517604276200485,0.003426337181480717,-0.2624693305292674,0.01990963688110589,18205.91740773134,0.9973,0
magic_lp,magic,lp,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.5518554153522608,0.545627409744129,0.07832062063366285,0.5432965299684543,0.08201367284886836,-0.22309954433929194,0.0023427698044592295,-0.22515772870662462,0.014854166261648082,12972.21067559496,0.9844,0
magic_lp,magic,lp,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.654148177357168,0.653693480546793,0.08579526127331764,0.6527252015422363,0.08428392584309774,-0.12080678233438474,0.002917819627278017,-0.11572905713284258,0.015066885347421172,11647.961429110988,0.8932,0
