experiment,dataset,geometry,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
titanic_ball,titanic,ball,reversible (no J),,reversible,0.7943044056771144,0.7969569288389514,0.009211239501215452,0.804655493482309,0.011026130470912816,0.0,0.0,0.0,0.0,364.44309241097784,0.2641777777777778,0
titanic_ball,titanic,ball,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7943044056771144,0.7969569288389514,0.009211239501215452,0.804655493482309,0.011026130470912816,0.0,0.0,0.0,0.0,364.44309241097784,0.2641777777777778,0
titanic_ball,titanic,ball,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7943315099546623,0.7970037453183522,0.009329008641519768,0.804655493482309,0.011026130470912816,2.710427754781438e-05,3.0122471713881176e-05,0.0,0.0,364.4432797933226,0.26422222222222225,0
titanic_ball,titanic,ball,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7943512221565151,0.797050561797753,0.009372775454483461,0.8048417132216014,0.01067400961288947,4.681647940076491e-05,6.262697135392438e-05,0.00018621973929237035,0.0003262283643711697,364.4433242297877,0.26435555555555557,0
titanic_ball,titanic,ball,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7943721663709838,0.7971441947565545,0.00920385199040193,0.805214152700186,0.010552325983260875,6.776069386951558e-05,8.201814872027717e-05,0.0005586592178771036,0.0004106163816540996,364.44313979135933,0.26424444444444445,0
titanic_ball,titanic,ball,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.7945803765030558,0.7975187265917605,0.009020214296128233,0.8054003724394786,0.011466327244209446,0.0002759708259412741,0.00017869148377989717,0.0007448789571694629,0.0006950521609316008,364.4383876598671,0.26397777777777776,0
titanic_ball,titanic,ball,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.7948292430514492,0.797237827715356,0.009363578389125642,0.8065176908752326,0.011026130470912816,0.0005248373743347264,0.00030981812628369493,0.0018621973929236443,0.0011777570428932482,364.4171662469781,0.2644888888888889,0
titanic_ball,titanic,ball,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.7948982357579345,0.7980337078651687,0.00902260194266559,0.807635009310987,0.012246935384462017,0.0005938300808200643,0.0006566704954962272,0.0029795158286778367,0.0017509983053874902,364.362753653864,0.26722222222222225,0
titanic_ball,titanic,ball,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.7944657993297856,0.7979400749063672,0.008663644367772035,0.8061452513966482,0.01137838917191668,0.0001613936526710528,0.0009154347739350582,0.001489757914338922,0.0019116280317307748,364.4694237072744,0.26893333333333336,0
titanic_ball,titanic,ball,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.7938670411985024,0.7962546816479403,0.008410268014034312,0.8054003724394787,0.010888625839656217,-0.0004373644786121826,0.0009645514977421023,0.0007448789571694592,0.001750998305387494,364.81737805410614,0.27024444444444445,0
titanic_ball,titanic,ball,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.7906083678296867,0.792556179775281,0.015105042741908693,0.8033519553072626,0.017321853243137546,-0.003696037847427602,0.001140243804971492,-0.0013035381750465555,0.0034164405801842337,365.91247176218997,0.275,0
titanic_ball,titanic,ball,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.7876934259806823,0.7879681647940076,0.016996536591342214,0.7944134078212292,0.022652497619440666,-0.0066109796964321735,0.0014315754069622096,-0.010242085661080088,0.004328046468405544,367.23987260999513,0.2859111111111111,0
titanic_ball,titanic,ball,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.7805625369603785,0.7816011235955057,0.021052073711136012,0.7951582867783986,0.022932654488418906,-0.013741868716735854,0.0019833883688450426,-0.009497206703910613,0.003992321424183787,370.4618315803033,0.3012888888888889,0
titanic_ball,titanic,ball,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.7907401931795784,0.7899344569288389,0.020617642776327716,0.7983240223463688,0.01892231946997742,-0.0035642124975360347,0.0011369695048055076,-0.006331471135940418,0.0037474404186658068,366.19603795919517,0.2794,0
titanic_ball,titanic,ball,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.7949117878967085,0.797612359550562,0.008699815679387025,0.8055865921787709,0.012569297276650515,0.0006073822195939586,0.00031703362993424126,0.0009310986964618148,0.0011390468423475547,364.43601916930766,0.2636,0
