dataset,variant,step_size,acceptance,accuracy_at_100,accuracy_final,iters_to_ref_0.005,mean_error_final,ess_potential_second_half,reference_accuracy
titanic,zero,0.6493816315762113,0.482110879749742,0.7824160447761194,0.7821828358208955,3,0.26395434315503563,1798.8052739653642,0.7835820895522388
titanic,constant,0.004869675251658632,0.7494641662034595,0.7702891791044777,0.78125,478,5.083993841220065,209.4041432027816,0.7835820895522388
titanic,state,0.23713737056616555,0.521633924932099,0.783115671641791,0.7825326492537313,13,0.43584546228563814,1423.1556286647117,0.7835820895522388
titanic,state_nocorr,0.23713737056616555,0.5214936502758948,0.7829990671641791,0.7826492537313433,13,0.4326462244105844,1456.3706216739383,0.7835820895522388
magic,zero,0.27384196342643613,0.5493716524151853,0.7947993340343498,0.7951334121976865,9,0.5937925339578085,1676.044625417381,0.7947774272695408
magic,constant,0.00020535250264571464,0.5413185164555949,0.7584012443042412,0.7757623554153523,-1,56.885920082518595,92.67384796673706,0.7947774272695408
magic,state,0.1778279410038923,0.516787078212234,0.794711706975114,0.7951498422712934,7,0.9392400973766979,1175.3657903289486,0.7947774272695408
magic,state_nocorr,0.1778279410038923,0.5165566502462915,0.7947007535927094,0.7951334121976867,7,0.9425010914939889,1152.3710494207555,0.7947774272695408
breast_cancer,zero,0.01,0.9275889824013107,0.946546052631579,0.962719298245614,438,3.2686885777849333,267.33027456654264,0.9649122807017544
breast_cancer,constant,0.006493816315762114,0.8512305689673934,0.9596125730994152,0.9649122807017544,110,3.377403763633041,244.30331541611912,0.9649122807017544
breast_cancer,state,0.01,0.8215907812468254,0.9458150584795322,0.9636330409356724,438,3.31368640131014,271.4729134857387,0.9649122807017544
breast_cancer,state_nocorr,0.01,0.8214800145389337,0.9459978070175439,0.9636330409356724,438,3.3108748205760765,274.1859552146672,0.9649122807017544
spambase,zero,0.01778279410038923,0.6571081098487632,0.6312273550724637,0.9238677536231884,-1,12.837933077331982,215.6927668188614,0.941304347826087
spambase,constant,2.0535250264571462e-05,0.6115301320476682,0.8291440217391304,0.8849864130434784,-1,26.004138537296598,92.8489051282952,0.941304347826087
spambase,state,0.01778279410038923,0.5681397381202262,0.6841938405797101,0.9379528985507246,452,11.651922708873165,214.44372264199305,0.941304347826087
spambase,state_nocorr,0.01778279410038923,0.5680943372212234,0.6842164855072463,0.9379302536231884,449,11.647911899150756,217.29911831379596,0.941304347826087
