dataset,variant,step_size,predicted_decay,accuracy_at_100,accuracy_final,iters_to_ref_0.005,mean_error_final,ess_potential_second_half,variance_inflation,step_reductions,reference_accuracy
titanic,zero,0.0019037370601709103,0.9781143214497214,0.7820662313432836,0.7825326492537313,53,0.5681990987150833,1371.7751752522017,1.1764705882352942,0,0.7835820895522388
titanic,constant,0.002337048089183297,0.9048496792283581,0.7828824626865671,0.7820662313432836,2,0.4175854669683866,1481.736029581147,1.1764705882352942,0,0.7835820895522388
titanic,state,0.002337048089183297,0.9048496792283581,0.7832322761194029,0.7817164179104478,21,0.4278698327604423,1473.0485283717917,1.1764705882352942,0,0.7835820895522388
titanic,state_nocorr,0.002337048089183297,0.9048496792283581,0.7831156716417911,0.7815998134328359,21,0.4291484811220988,1471.7964734107159,1.1764705882352942,0,0.7835820895522388
titanic,precond,0.29999999999999977,0.7000000000000004,0.7820662313432836,0.7827658582089552,1,0.31584700784411057,2850.379943773467,1.1764705882352942,0,0.7835820895522388
magic,zero,9.832194867868729e-05,0.9955675543678874,0.7931782334384858,0.7940435506484402,40,1.5893931741227085,1134.8216910590265,1.1764705882352942,0,0.7947774272695408
magic,constant,0.00012245014118714492,0.9331176842423281,0.7934465913073958,0.7946405099894847,17,0.7502976105732778,1554.7450957603128,1.176470588235294,0,0.7947774272695408
magic,state,0.00012245014118714492,0.9331176842423281,0.7933699176305644,0.7945693130038556,12,0.7742559254598149,1554.3974275200324,1.176470588235294,0,0.7947774272695408
magic,state_nocorr,0.00012245014118714492,0.9331176842423281,0.7933699176305644,0.7945693130038556,12,0.774433275883556,1554.293635018319,1.176470588235294,0,0.7947774272695408
magic,precond,0.29999999999999977,0.7000000000000006,0.7946021731510691,0.7950074483000351,4,0.3940537258853972,3965.2462627759896,1.1764705882352942,0,0.7947774272695408
breast_cancer,zero,0.002705042507058832,0.9997569387439504,0.9714912280701755,0.9691154970760234,543,3.58261528808538,365.2337605001808,1.1764705882352942,0,0.9649122807017544
breast_cancer,constant,0.0027118336186952915,0.999003167170402,0.9585160818713451,0.9618055555555556,116,3.096650841210834,301.05657028807286,1.1764705882352942,0,0.9649122807017544
breast_cancer,state,0.003380618386030947,0.9664564754414682,0.9643640350877192,0.9671052631578947,431,3.3886906498307487,361.7547613637696,1.1764705882352942,0,0.9649122807017544
breast_cancer,state_nocorr,0.003380618386030947,0.9664564754414682,0.9643640350877192,0.9671052631578947,431,3.388800712142822,361.77775665953885,1.1764705882352942,0,0.9649122807017544
breast_cancer,precond,0.14999999999999905,0.8500000000000021,0.9716739766081871,0.9674707602339181,261,4.214863757022244,4497.894528258533,1.081081081081081,1,0.9649122807017544
spambase,zero,8.308827085259585e-05,0.9999910340880194,0.9285326086956522,0.9361639492753624,-1,9.590102485309275,205.46540105564517,1.1764705882352942,0,0.941304347826087
spambase,constant,8.314026448127471e-05,0.9998032993498451,0.9167798913043479,0.9398097826086956,244,7.549762772089812,233.8420755183563,1.1764705882352942,0,0.941304347826087
spambase,state,0.00010385956256934022,0.9754456547844624,0.9050951086956522,0.9340579710144927,-1,9.941408945933386,201.51926397212924,1.1764705882352942,0,0.941304347826087
spambase,state_nocorr,0.00010385956256934022,0.9754456547844624,0.9051630434782609,0.9340579710144927,-1,9.941435056422904,201.49389270625255,1.1764705882352942,0,0.941304347826087
spambase,precond,0.018749999999999507,0.981250000000001,0.9412590579710145,0.9400135869565218,1,19.010942598933163,5857.927413615627,1.0094637223974763,4,0.941304347826087
