geometry,s,final_test_acc,final_test_sd,projection_rate,drift_ratio,step_displacement
unit ball,0.0,0.6519999999999999,0.00965183374995872,0.0,0.0,0.046157113536660736
quartic set,0.0,0.655375,0.00896906232263823,0.0,0.0,0.057078284026520036
unit ball,0.5,0.6519999999999999,0.010563093645728083,0.0,0.16446700771462833,0.04643764981665867
quartic set,0.5,0.654875,0.010146136158526985,0.0,0.08959801457273907,0.057232372096779935
unit ball,1.0,0.65275,0.01051002028141666,0.0,0.3293820095656767,0.04726292062716291
quartic set,1.0,0.6565000000000001,0.009947229183096809,0.0,0.1796696034973686,0.05767844740264056
unit ball,2.0,0.65175,0.009180213275816295,0.0,0.6627575820446355,0.050460154872143406
quartic set,2.0,0.65425,0.010358698353506945,0.0,0.3629057042855612,0.05942077380190587
unit ball,5.0,0.648125,0.014798537445515214,0.0,1.7381429084150208,0.07049535884175315
quartic set,5.0,0.653,0.009445132413883327,0.00365,1.0505888058579862,0.07468684861894544
unit ball,10.0,0.619125,0.02262792580675016,0.0345,4.21262093131603,0.13279828468999247
quartic set,10.0,0.554375,0.045486225503181904,0.7756,13.427451646520684,0.5702433889870454
