geometry,h_divisor,step_size,iterations,method,final_test_acc,final_test_sd,final_train_loss,mean_||beta||,mean_coef_sd,mean_constraint,projection_rate,drift_ratio,step_displacement,n_nonfinite
unit ball,1,0.0001,1000,Projected SGLD,0.6526249999999999,0.010896492675699776,972.3873305295917,0.7024970761786715,0.05525400457426148,0.49590195101848683,0.0,0.0,0.059492100393032495,0
unit ball,1,0.0001,1000,Non-reversible SGLD,0.59,0.041628052282590707,1157.1561836575715,0.9916234764429397,0.26220758674640066,0.9835277267518083,0.5568,4.392045408851635,0.2858910736085008,0
unit ball,1,0.0001,1000,Reversible anchored Langevin,0.6519999999999999,0.00965183374995872,970.9569066941046,0.7028468922765356,0.05024343138134956,0.4962098883026937,0.0,0.0,0.046157113536660736,0
unit ball,1,0.0001,1000,Non-reversible anchored Langevin,0.619125,0.02262792580675016,1051.0048640905725,0.9262577092886802,0.1765440955981666,0.8601371564698932,0.0345,4.21262093131603,0.13279828468999247,0
unit ball,2,5e-05,2000,Projected SGLD,0.65725,0.00888153021429127,969.6499997979305,0.7065537208260075,0.047327284033267504,0.5024289773000226,0.0,0.0,0.03609829312545554,0
unit ball,2,5e-05,2000,Non-reversible SGLD,0.635,0.025649458802128856,1039.814078644486,0.89951010129036,0.1676506697706904,0.814700508592386,0.020425,4.084101944842909,0.11051505468306343,0
unit ball,2,5e-05,2000,Reversible anchored Langevin,0.6577500000000001,0.006118350310853065,968.6744296749291,0.7044901885311753,0.04351634737242319,0.49891045167600023,0.0,0.0,0.028901925239850253,0
unit ball,2,5e-05,2000,Non-reversible anchored Langevin,0.63675,0.015391812587763716,999.8694208733796,0.7978528649574248,0.10974278350889592,0.6401123197591977,0.0,3.695456156157759,0.06301811609170725,0
unit ball,4,2.5e-05,4000,Projected SGLD,0.653625,0.00736612981293791,969.2889857253658,0.7043440451257498,0.044270963412740644,0.4986980977843175,0.0,0.0,0.023205423331147276,0
unit ball,4,2.5e-05,4000,Non-reversible SGLD,0.6468749999999999,0.015683443331642528,983.442536808365,0.7685602671785898,0.0792255807178593,0.5945198719753947,0.0,3.583395655628523,0.046917096343647394,0
unit ball,4,2.5e-05,4000,Reversible anchored Langevin,0.653125,0.008954379992642243,969.0365914323118,0.7020235491773168,0.04331689259091251,0.49531959754694715,0.0,0.0,0.019001447658020837,0
unit ball,4,2.5e-05,4000,Non-reversible anchored Langevin,0.6465,0.011652874052533584,978.3678090417679,0.7377644018321654,0.06970265982977743,0.5471954029503494,0.0,3.461381500988899,0.03235613568382276,0
quartic set,1,0.0001,1000,Projected SGLD,0.6561250000000001,0.009544735391000153,973.2596523365086,0.7051847857731082,0.055948668875657415,0.09880258661792743,0.0,0.0,0.059859798338297215,0
quartic set,1,0.0001,1000,Non-reversible SGLD,0.536125,0.05617451074904647,1468.5614530870027,1.2218617293348262,0.3985217390381508,0.9854000682950865,0.89735,13.389779488134268,1.1305576777535076,0
quartic set,1,0.0001,1000,Reversible anchored Langevin,0.655375,0.00896906232263823,972.970233142252,0.7044966147251898,0.05510294348708374,0.09839394621967366,0.0,0.0,0.057078284026520036,0
quartic set,1,0.0001,1000,Non-reversible anchored Langevin,0.554375,0.045486225503181904,1422.776774378291,1.2395896388842607,0.38221055510370117,0.9761229546226866,0.7756,13.427451646520684,0.5702433889870454,0
quartic set,2,5e-05,2000,Projected SGLD,0.655375,0.008858351694126982,970.9324391911384,0.7052471837736903,0.050458465122625196,0.09498926781546528,0.0,0.0,0.03625348071781999,0
quartic set,2,5e-05,2000,Non-reversible SGLD,0.57075,0.05289077623297201,1331.8952289617046,1.1364685871416937,0.3568980943261789,0.8244408264597487,0.6629,12.02559169359449,0.4962252898474753,0
quartic set,2,5e-05,2000,Reversible anchored Langevin,0.655125,0.008486638104443335,970.771600130802,0.7054680871335505,0.04993621625918686,0.09497253019464023,0.0,0.0,0.03482616265095927,0
quartic set,2,5e-05,2000,Non-reversible anchored Langevin,0.604875,0.054310722746646986,1202.988360696166,1.0687471476384534,0.2833901465878396,0.6389067934273658,0.359275,9.734958343141399,0.20475120533681565,0
quartic set,4,2.5e-05,4000,Projected SGLD,0.653875,0.010306966218610554,968.1330673864902,0.7151929946611184,0.04062727262165636,0.09757245473942054,0.0,0.0,0.023276611941411805,0
quartic set,4,2.5e-05,4000,Non-reversible SGLD,0.6463749999999999,0.022367666395938592,1011.8844521001716,0.7787080169673033,0.11835584775974706,0.182583235591188,0.157425,5.419185741891274,0.10481782844078902,0
quartic set,4,2.5e-05,4000,Reversible anchored Langevin,0.654125,0.01058409307951275,968.0743074248285,0.7151798092578195,0.0403846901961911,0.09758121129403474,0.0,0.0,0.022471439169069612,0
quartic set,4,2.5e-05,4000,Non-reversible anchored Langevin,0.6536250000000001,0.011076141975102687,974.9418051146473,0.7263229811864236,0.06227381336229999,0.10372339665743693,0.0081125,2.2952088142040243,0.03439941827727566,0
