geometry,iteration,reversible,non_reversible,paired_diff,paired_se,t_stat
L1-smooth ball,50,0.52785,0.615525,0.087675,0.01352678109596595,6.481586371361258
L1-smooth ball,100,0.5575749999999999,0.723475,0.16590000000000005,0.01111098282754228,14.931172388167276
L1-smooth ball,150,0.58565,0.7358750000000002,0.150225,0.010305809813357266,14.576729312944893
L1-smooth ball,200,0.613825,0.743925,0.13010000000000002,0.009867424213342638,13.184798503350045
L1-smooth ball,300,0.66755,0.7554750000000001,0.087925,0.007553600970812704,11.640143600349598
L1-smooth ball,400,0.7101499999999998,0.7661749999999999,0.05602499999999999,0.0053597940890269,10.452826931299452
L1-smooth ball,600,0.7620749999999997,0.785,0.022925,0.0029078991600900678,7.88369841521256
L1-smooth ball,1000,0.7967750000000001,0.799625,0.0028499999999999992,0.0017925984187511408,1.5898708657712217
unit ball,50,0.543525,0.6552749999999999,0.11175,0.008635542890293637,12.940703487861448
unit ball,100,0.5828,0.6775000000000001,0.0947,0.007235860471822046,13.087593433950476
unit ball,150,0.618475,0.6911750000000001,0.0727,0.005724821906276723,12.699085000406976
unit ball,200,0.648075,0.7007499999999999,0.05267499999999999,0.003843079671778398,13.70645536880698
unit ball,300,0.6894750000000001,0.710675,0.0212,0.002127703271633808,9.963795366879832
unit ball,400,0.7088000000000001,0.71655,0.007749999999999998,0.0016300910924537232,4.754335531233518
unit ball,600,0.7208999999999999,0.723225,0.002325000000000006,0.0010542452659642733,2.205369163193185
unit ball,1000,0.7254499999999999,0.724375,-0.001074999999999997,0.0009469881816377736,-1.1351778415447937
