geometry,s,ergodic_variance_ratio,rev_test_acc,nr_test_acc,paired_accuracy_diff,accuracy_t,projection_rate
unit ball,0.5,0.9761813399100245,0.6598,0.6593000000000001,-0.0004999999999999983,-1.1159224968015995,0.0
L1-smooth ball,0.5,0.8462984068379884,0.65905,0.6591999999999999,0.00015000000000000234,0.23791547571544702,0.0
unit ball,1.0,0.9190576268767361,0.6598,0.6598250000000001,2.5000000000002796e-05,0.04375992066148421,0.0
L1-smooth ball,1.0,0.6602052090288567,0.65905,0.6595749999999999,0.0005250000000000032,0.5677183860296943,0.0
unit ball,2.0,0.7822322549967231,0.6598,0.6607500000000001,0.0009499999999999986,1.1065259159143144,0.0
L1-smooth ball,2.0,0.5174832327289783,0.65905,0.6605499999999997,0.0015000000000000046,1.4032322592787954,0.0
unit ball,3.0,0.6789930551159434,0.6598,0.660175,0.0003750000000000009,0.3709530665814451,0.0
L1-smooth ball,3.0,0.4854378241914784,0.65905,0.659725,0.0006750000000000023,0.5000978866032085,0.0
unit ball,4.0,0.6149194263262768,0.6598,0.6603,0.0004999999999999994,0.4695636034961441,0.0
L1-smooth ball,4.0,0.507856170351903,0.65905,0.658425,-0.0006249999999999933,-0.3656164634226402,4e-05
unit ball,5.0,0.575570280937044,0.6598,0.65935,-0.00045000000000000595,-0.3856463206448937,0.0
L1-smooth ball,5.0,0.8290027899539384,0.65905,0.63665,-0.022400000000000007,-12.107438126527608,0.00024
unit ball,7.0,0.534916174318829,0.6598,0.6584500000000001,-0.001349999999999999,-1.1569175055505057,0.0
L1-smooth ball,7.0,3.7049665995728067,0.65905,0.58235,-0.07669999999999999,-39.61517992041921,0.49069
unit ball,10.0,0.5545064273434587,0.6598,0.6574750000000001,-0.0023250000000000015,-1.4311524966717881,0.00037
L1-smooth ball,10.0,3.9388200869974597,0.65905,0.537675,-0.12137500000000001,-50.07886496403318,0.87265
