geometry,s,ergodic_variance_ratio,rev_test_acc,nr_test_acc,paired_accuracy_diff,accuracy_t,projection_rate
unit ball,0.5,1.0750513429819741,0.6211749999999999,0.6186,-0.002574999999999992,-1.7789227294677432,0.0
L1-smooth ball,0.5,0.9781535884970369,0.6220000000000001,0.6203500000000001,-0.0016499999999999954,-0.648303759828775,0.0
unit ball,1.0,1.1039300809851902,0.6211749999999999,0.617625,-0.00355,-1.5078209749191827,0.0
L1-smooth ball,1.0,0.8743724052418236,0.6220000000000001,0.6200000000000001,-0.002000000000000002,-0.5991495389063336,0.0
unit ball,2.0,1.0835789608959392,0.6211749999999999,0.6177,-0.003474999999999996,-1.090938511062867,0.0
L1-smooth ball,2.0,0.7901796773957395,0.6220000000000001,0.6172749999999999,-0.0047249999999999966,-1.242855258269535,0.0
unit ball,3.0,1.0146470267852443,0.6211749999999999,0.6169749999999999,-0.0042,-1.1323501068582154,0.0
L1-smooth ball,3.0,0.6139872542717006,0.6220000000000001,0.6269250000000001,0.004925000000000001,1.1634704658853172,0.0
unit ball,4.0,0.9636377705178428,0.6211749999999999,0.6193500000000001,-0.0018249999999999983,-0.44706820382528467,0.0
L1-smooth ball,4.0,0.4281842110767562,0.6220000000000001,0.6263750000000001,0.004374999999999998,0.9640702361264992,0.0
unit ball,5.0,0.8917786496117659,0.6211749999999999,0.622,0.0008250000000000047,0.18895397728189414,0.0
L1-smooth ball,5.0,0.3726064010521428,0.6220000000000001,0.630975,0.008975000000000004,2.0231514217478175,0.0
unit ball,7.0,0.7912508572945416,0.6211749999999999,0.6220500000000001,0.0008750000000000041,0.18313313368716125,0.0
L1-smooth ball,7.0,0.26476172008424087,0.6220000000000001,0.6304749999999999,0.008474999999999995,1.929930255734937,0.0
unit ball,10.0,0.63113577776863,0.6211749999999999,0.6251,0.003925000000000005,0.78485622196002,0.0
L1-smooth ball,10.0,0.20141064333830744,0.6220000000000001,0.6310499999999999,0.009049999999999996,2.014393234218609,0.00011
