geometry,s,ergodic_variance_ratio,rev_test_acc,nr_test_acc,paired_accuracy_diff,accuracy_t,projection_rate,n_nonfinite_rev,n_nonfinite_nr
unit ball,0.5,0.9848478102075923,0.6522249999999999,0.6518249999999999,-0.00040000000000000257,-1.0245495543234724,0.0,0,0
L1-smooth ball,0.5,0.8711550081014316,0.6539499999999999,0.6535,-0.00045000000000000264,-0.9226940249737571,0.0,0,0
unit ball,1.0,0.9458647087520857,0.6522249999999999,0.6519999999999999,-0.00022500000000000298,-0.4718394849036598,0.0,0,0
L1-smooth ball,1.0,0.694301835900305,0.6539499999999999,0.6541,0.00015000000000000234,0.16649805311937763,0.0,0,0
unit ball,2.0,0.8375015127972596,0.6522249999999999,0.6523,7.49999999999995e-05,0.10792788901376565,0.0,0,0
L1-smooth ball,2.0,0.538960613564198,0.6539499999999999,0.6537000000000001,-0.00025000000000000353,-0.21344585926326295,0.0,0,0
unit ball,3.0,0.7404140227237165,0.6522249999999999,0.65305,0.0008250000000000013,0.9574311780604456,0.0,0,0
L1-smooth ball,3.0,0.5050722716503747,0.6539499999999999,0.6558499999999999,0.0019000000000000017,1.2312082916561247,0.0,0,0
unit ball,4.0,0.6715895482594453,0.6522249999999999,0.653375,0.0011500000000000021,1.1124166302233915,0.0,0,0
L1-smooth ball,4.0,0.5056728192244241,0.6539499999999999,0.65365,-0.0003000000000000014,-0.190494371479575,1e-05,0,0
unit ball,5.0,0.6247432742162048,0.6522249999999999,0.65335,0.0011250000000000003,0.9921132471775775,0.0,0,0
L1-smooth ball,5.0,0.6047280603657897,0.6539499999999999,0.6362750000000001,-0.01767500000000001,-7.806302173601328,0.00012,0,0
unit ball,7.0,0.5705355322098656,0.6522249999999999,0.6530750000000001,0.0008499999999999963,0.65342157362333,0.0,0,0
L1-smooth ball,7.0,3.209801295812898,0.6539499999999999,0.5761749999999999,-0.077775,-35.22561751630804,0.46715,0,0
unit ball,10.0,0.7478965825073298,0.6522249999999999,0.654875,0.0026500000000000013,1.7047390924222372,0.00017,0,0
L1-smooth ball,10.0,5.580586594505279,0.6539499999999999,0.5438,-0.11014999999999998,-43.25979730719572,0.9,0,0
