geometry,s,paired_diff,paired_se,t_stat,projection_rate,drift_ratio
unit ball,1.0,0.0007500000000000062,0.0005106195484236026,1.468803931058701,0.0,0.33469877598554204
unit ball,2.0,0.0024500000000000034,0.0007124257891531622,3.4389546775282236,0.0,0.6717252255216902
unit ball,3.0,0.0021500000000000043,0.0009259311447664375,2.3219869124742893,0.0,1.012892704007097
unit ball,5.0,0.002875000000000003,0.0010214708893442738,2.814568706745612,0.0,1.7140679649860537
unit ball,7.0,0.0008500000000000052,0.001115331630711086,0.7621051681804119,0.0,2.467906128243779
unit ball,10.0,0.00017500000000000848,0.001450032653759804,0.12068693732258322,2e-05,3.856961946795735
L1-smooth ball,1.0,0.0006750000000000034,0.0009366654534662701,0.7206415027927691,0.0,0.9897798174595986
L1-smooth ball,2.0,-7.49999999999995e-05,0.0011063721541300412,-0.06778912477146828,0.0,2.0170408505625783
L1-smooth ball,3.0,0.0013500000000000046,0.0015173325211693008,0.8897192811498268,0.0,3.1172086244776946
L1-smooth ball,5.0,-0.007625000000000005,0.0018386201320280907,-4.147131790398295,0.0001,5.485990870865045
L1-smooth ball,7.0,-0.06915,0.0020674302108578376,-33.44732007727973,0.31095,6.455166035730964
L1-smooth ball,10.0,-0.11334999999999999,0.002250482552070049,-50.36697569405188,0.84849,7.935182663041737
