geometry,s,ergodic_variance_ratio,paired_accuracy_diff,accuracy_t,projection_rate,drift_ratio
unit ball,0.5,0.9783843479450551,0.0006250000000000089,1.5771611160340326,0.0,0.1672101067606869
L1-smooth ball,0.5,0.8530336082619622,-0.0002999999999999947,-0.47473142447342137,0.0,0.49257044212640866
unit ball,1.0,0.9266697575336502,0.0007500000000000062,1.468803931058701,0.0,0.33469877598554204
L1-smooth ball,1.0,0.6677215796677045,0.0006750000000000034,0.7206415027927691,0.0,0.9897798174595986
unit ball,2.0,0.797586923608709,0.0024500000000000034,3.4389546775282236,0.0,0.6717252255216902
L1-smooth ball,2.0,0.5173616830384863,-7.49999999999995e-05,-0.06778912477146828,0.0,2.0170408505625783
unit ball,3.0,0.6941607166986863,0.0021500000000000043,2.3219869124742893,0.0,1.012892704007097
L1-smooth ball,3.0,0.48252878323757126,0.0013500000000000046,0.8897192811498268,0.0,3.1172086244776946
unit ball,4.0,0.626778952957613,0.002175000000000009,2.4070523303187517,0.0,1.3594787391731293
L1-smooth ball,4.0,0.49002161740963374,-0.0016249999999999975,-1.099374957866757,1e-05,4.3215182872685
unit ball,5.0,0.584125684315707,0.002875000000000003,2.814568706745612,0.0,1.7140679649860537
L1-smooth ball,5.0,0.6549977350054912,-0.007625000000000005,-4.147131790398295,0.0001,5.485990870865045
unit ball,7.0,0.5390468337975315,0.0008500000000000052,0.7621051681804119,0.0,2.467906128243779
L1-smooth ball,7.0,4.362273112564933,-0.06915,-33.44732007727973,0.31095,6.455166035730964
unit ball,10.0,0.5372900321225418,0.00017500000000000848,0.12068693732258322,2e-05,3.856961946795735
L1-smooth ball,10.0,4.3167465254760184,-0.11334999999999999,-50.36697569405188,0.84849,7.935182663041737
