geometry,iteration,reversible,non_reversible,paired_diff,paired_se,t_stat
unit ball,100,0.6478,0.657625,0.009825,0.0026851290340117605,3.6590420331945093
unit ball,200,0.66705,0.672675,0.005625000000000002,0.00207479310152637,2.711113698933084
unit ball,400,0.6823750000000003,0.6877500000000001,0.005374999999999995,0.0013278176634895105,4.04799555525905
unit ball,600,0.6864,0.6916750000000002,0.0052749999999999915,0.0012742075176280332,4.139828031951597
unit ball,1000,0.6911749999999999,0.6938500000000001,0.0026749999999999908,0.001078517852228582,2.480255653137811
unit ball,1500,0.6941999999999999,0.6953,0.001100000000000001,0.0008582046093532408,1.28174562104599
unit ball,2000,0.6942500000000001,0.69505,0.0007999999999999952,0.0008622849607498385,0.9277675436949745
L1-smooth ball,100,0.640775,0.6522999999999999,0.011525000000000002,0.0031319659734080547,3.679797321507632
L1-smooth ball,200,0.6620999999999999,0.6750750000000001,0.012975000000000004,0.002309317698438919,5.6185426581933715
L1-smooth ball,400,0.6783250000000001,0.6884250000000001,0.010099999999999998,0.0016835958391178524,5.999064481706048
L1-smooth ball,600,0.6853999999999999,0.6929249999999999,0.007524999999999985,0.0013755141371189672,5.470681686893599
L1-smooth ball,1000,0.6920999999999999,0.6950749999999999,0.0029749999999999967,0.001175128941990209,2.531637077171727
L1-smooth ball,1500,0.694375,0.6949,0.0005249999999999911,0.0009268000503524652,0.5664652260218714
L1-smooth ball,2000,0.6938249999999999,0.6959000000000001,0.0020750000000000013,0.001063070999272836,1.951892207970443
